entry_ts,exit_ts,session,side,entry_price,exit_price,stop_price,tp1_price,runner_target_price,contracts,risk_dollars,pnl,gross_pnl,tp1_hit,tp1_gross_pnl,runner_gross_pnl,reason,htf_timeframe,sweep_pool,tp1_pool,runner_pool,r_mult
2025-04-01 14:55:00-04:00,2025-04-01 15:25:00-04:00,2025-04-01,1,5638.25,5653.75,5628.25,5653.25,5653.75,6,300.0,451.5,457.5,True,225.0,232.5,runner_target,4H,equal_low,equal_high_promoted_to_1.5R,stacked_equal_high,1.505
2025-04-22 14:15:00-04:00,2025-04-22 16:00:00-04:00,2025-04-22,1,5289.75,5325.25,5261.75,5331.75,5337.0,2,280.0,353.0,355.0,False,0.0,355.0,session_flatten,4H,equal_low,equal_high_promoted_to_1.5R,stacked_equal_high,1.2607142857142857
2025-05-29 14:20:00-04:00,2025-05-29 15:50:00-04:00,2025-05-29,-1,5903.25,5929.0,5928.75,5865.0,5863.25,2,255.0,-259.5,-257.5,False,0.0,-257.5,stop,4H,equal_high,equal_low_promoted_to_1.5R,stacked_equal_low,-1.0176470588235293
2025-06-16 14:55:00-04:00,2025-06-16 15:06:00-04:00,2025-06-16,1,6036.25,6031.25,6031.5,6043.375,6047.0,13,308.75,-338.0,-325.0,False,0.0,-325.0,stop,4H,equal_low,equal_high_promoted_to_1.5R,stacked_equal_high,-1.0947368421052632
2025-09-24 14:10:00-04:00,2025-09-24 16:00:00-04:00,2025-09-24,-1,6682.75,6695.25,6700.25,6656.5,6655.75,3,262.5,-190.5,-187.5,False,0.0,-187.5,session_flatten,4H,equal_high,equal_low_promoted_to_1.5R,stacked_equal_low,-0.7257142857142858
2026-01-02 12:50:00-05:00,2026-01-02 14:24:00-05:00,2026-01-02,-1,6878.75,6897.75,6897.5,6850.625,6849.25,3,281.25,-288.0,-285.0,False,0.0,-285.0,stop,4H,equal_high,equal_low_promoted_to_1.5R,stacked_equal_low,-1.024
2026-01-21 13:50:00-05:00,2026-01-21 14:30:00-05:00,2026-01-21,1,6866.5,6905.25,6842.25,6902.875,6905.25,2,242.5,373.625,375.625,True,181.875,193.75,runner_target,4H,equal_low,equal_high_promoted_to_1.5R,stacked_equal_high,1.5407216494845362
2026-03-04 11:45:00-05:00,2026-03-04 16:00:00-05:00,2026-03-04,1,6886.25,6868.75,6864.0,6919.625,6922.5,2,222.5,-177.0,-175.0,False,0.0,-175.0,session_flatten,4H,equal_low,equal_high_promoted_to_1.5R,stacked_equal_high,-0.7955056179775281
