stop_ticks,stop_slippage_ticks,seed,train_mean,holdout_trades,holdout_win_rate,holdout_mean,holdout_rr,holdout_skew,wf_min,mc_pass_rate,mc_ev,mc_fail_mll,mc_fail_no_target,mc_avg_trades
20,0,20260702,-3.216200236499803,1737,0.45826137017846863,-2.942285549798503,0.9311516190827527,0.15724142732512988,-3.5437062937062938,0.0304,-23.030400000000014,0.0,0.9564,28.6481
20,0,20260703,-2.293833727344366,1743,0.46758462421113023,-2.469449225473322,0.9323821060446896,0.11914781725382455,-4.19672131147541,0.04,0.960000000000008,0.0,0.9459,30.2451
20,0,20260704,-2.62751677852349,1733,0.46105020196191576,-2.816214656664743,0.9304679989882426,0.1472901953438319,-4.196902654867257,0.033,-16.533,0.0,0.9551,28.3866
20,0,20260705,-2.938584384858044,1735,0.4697406340057637,-2.425792507204611,0.9274789163244267,0.11447694020915795,-3.1335697399527187,0.0443,11.705699999999993,0.0,0.9395,30.0249
20,0,20260706,-3.1022279179810726,1736,0.49078341013824883,-1.3492223502304148,0.9301645526524298,0.029209506234476768,-3.450221238938053,0.0871,118.6629,0.0,0.8823,34.0772
20,0,20260707,-3.348186119873817,1741,0.4830557151062608,-1.7804422745548536,0.9265445707274876,0.06267860276077511,-2.8030973451327434,0.0656,64.93440000000002,0.0,0.9089,32.6305
20,0,20260708,-2.11439842209073,1742,0.4695752009184845,-2.4315442020665903,0.9275005593168347,0.11486984561423512,-3.365252293577982,0.0443,11.705699999999993,0.0,0.9404,30.4245
20,0,20260709,-2.5445544554455446,1738,0.47583429228998847,-2.107594936708861,0.9286884308577104,0.08994171809964654,-3.3049645390070923,0.0503,26.699700000000007,0.0,0.9304,31.2916
20,0,20260710,-2.45307570977918,1734,0.46655132641291813,-2.660899653979239,0.9215604643284963,0.1333466034186464,-3.0298672566371683,0.0336,-15.033600000000007,0.0,0.9511,29.1498
20,0,20260711,-3.04048463356974,1741,0.4652498564043653,-2.635554279149914,0.9280767451462485,0.1322394494490779,-3.7288732394366195,0.0395,-0.28950000000000387,0.0,0.9468,29.7307
20,0,20260712,-2.115225118483412,1738,0.46777905638665135,-2.523302646720368,0.9272719230039802,0.1230829404356273,-4.281609195402299,0.039,-1.5390000000000015,0.0,0.9443,29.7705
20,0,20260713,-2.7045454545454546,1738,0.498849252013809,-1.0086306098964326,0.9258565036433976,0.0009432873909661476,-2.247093023255814,0.1059,165.64409999999998,0.0,0.8621,36.1038
