entry_ts,exit_ts,session,side,entry_price,exit_price,stop_price,tp1_price,runner_target_price,contracts,risk_dollars,pnl,gross_pnl,tp1_hit,tp1_gross_pnl,runner_gross_pnl,reason,htf_timeframe,sweep_pool,tp1_pool,runner_pool,r_mult
2024-08-07 13:25:00-04:00,2024-08-07 13:26:00-04:00,2024-08-07,1,18234.0,18233.25,18279.75,18302.625,18330.0,3,274.5,-7.5,-4.5,False,0.0,-4.5,gap_stop,4H,equal_low,equal_high_promoted_to_1.5R,stacked_equal_high,-0.0273224043715847
2024-08-14 13:55:00-04:00,2024-08-14 16:00:00-04:00,2024-08-14,1,19090.75,19117.0,19018.25,19199.5,19206.75,2,290.0,103.0,105.0,False,0.0,105.0,session_flatten,4H,equal_low,equal_high_promoted_to_1.5R,stacked_equal_high,0.35517241379310344
2024-10-16 13:20:00-04:00,2024-10-16 14:21:00-04:00,2024-10-16,-1,20309.5,20348.25,20348.0,20251.75,20239.75,4,308.0,-314.0,-310.0,False,0.0,-310.0,stop,4H,equal_high,equal_low_promoted_to_1.5R,stacked_equal_low,-1.0194805194805194
2024-11-13 15:05:00-05:00,2024-11-13 16:00:00-05:00,2024-11-13,-1,21159.5,21165.0,21269.0,20995.25,20885.0,1,219.0,-12.0,-11.0,False,0.0,-11.0,session_flatten,4H,equal_high,equal_low_promoted_to_1.5R,stacked_equal_low,-0.0547945205479452
2024-11-20 12:05:00-05:00,2024-11-20 12:06:00-05:00,2024-11-20,-1,20678.75,20679.0,20644.75,20627.75,20620.25,4,272.0,-6.0,-2.0,False,0.0,-2.0,gap_stop,4H,equal_high,equal_low_promoted_to_1.5R,stacked_equal_low,-0.022058823529411766
2024-12-12 13:35:00-05:00,2024-12-12 14:23:00-05:00,2024-12-12,-1,21714.25,21669.5,21743.5,21670.375,21669.5,5,292.5,438.125,443.125,True,219.375,223.75,runner_target,4H,equal_high,equal_low_promoted_to_1.5R,stacked_equal_low,1.4978632478632479
2025-01-31 14:15:00-05:00,2025-01-31 14:16:00-05:00,2025-01-31,1,21743.5,21743.0,21904.25,21984.625,21990.5,1,321.5,-2.0,-1.0,False,0.0,-1.0,gap_stop,4H,equal_low,prior_rth_high_promoted_to_1.5R,stacked_equal_high,-0.006220839813374806
2025-02-13 12:45:00-05:00,2025-02-13 13:19:00-05:00,2025-02-13,1,21989.0,21941.5,21941.75,22059.875,22077.0,3,283.5,-288.0,-285.0,False,0.0,-285.0,stop,4H,equal_low,equal_high_promoted_to_1.5R,stacked_equal_high,-1.0158730158730158
2025-02-20 13:00:00-05:00,2025-02-20 14:12:00-05:00,2025-02-20,-1,22043.5,22098.5,22098.25,21961.375,21943.0,2,219.0,-222.0,-220.0,False,0.0,-220.0,stop,4H,equal_high,equal_low_promoted_to_1.5R,stacked_equal_low,-1.0136986301369864
2025-02-24 12:55:00-05:00,2025-02-24 12:56:00-05:00,2025-02-24,-1,21624.75,21625.5,21625.0,21620.0,21599.5,40,20.0,-100.0,-60.0,False,0.0,-60.0,gap_stop,4H,equal_high,equal_low,stacked_equal_low,-5.0
2025-04-01 13:15:00-04:00,2025-04-01 14:00:00-04:00,2025-04-01,1,19566.0,19496.25,19496.5,19670.25,19690.0,2,278.0,-281.0,-279.0,False,0.0,-279.0,stop,4H,equal_low,equal_high_promoted_to_1.5R,stacked_equal_high,-1.0107913669064748
2025-04-22 15:45:00-04:00,2025-04-22 16:00:00-04:00,2025-04-22,1,18345.0,18426.25,18210.25,18547.125,18551.5,1,269.5,161.5,162.5,False,0.0,162.5,session_flatten,4H,equal_low,equal_high_promoted_to_1.5R,stacked_equal_high,0.5992578849721707
2025-05-23 14:20:00-04:00,2025-05-23 16:00:00-04:00,2025-05-23,-1,21031.25,20969.5,21075.0,20910.0,20887.5,3,262.5,367.5,370.5,False,0.0,370.5,session_flatten,4H,equal_high,equal_low,stacked_equal_low,1.4
2025-07-16 16:00:00-04:00,2025-07-16 16:00:00-04:00,2025-07-16,-1,23067.25,23067.75,23100.25,23017.75,23000.5,4,264.0,-8.0,-4.0,False,0.0,-4.0,session_flatten,4H,equal_high,equal_low_promoted_to_1.5R,stacked_equal_low,-0.030303030303030304
2025-07-22 14:15:00-04:00,2025-07-22 14:53:00-04:00,2025-07-22,-1,23214.75,23251.0,23250.75,23160.75,23150.5,4,288.0,-294.0,-290.0,False,0.0,-290.0,stop,4H,equal_high,equal_low_promoted_to_1.5R,stacked_equal_low,-1.0208333333333333
2025-08-07 14:40:00-04:00,2025-08-07 14:41:00-04:00,2025-08-07,1,23363.25,23363.25,23381.0,23389.875,23415.25,9,319.5,-9.0,0.0,False,0.0,0.0,gap_stop,4H,equal_low,equal_high_promoted_to_1.5R,stacked_equal_high,-0.028169014084507043
2025-09-10 15:00:00-04:00,2025-09-10 15:03:00-04:00,2025-09-10,1,23862.0,23845.0,23845.25,23887.125,23902.5,9,301.5,-315.0,-306.0,False,0.0,-306.0,stop,4H,equal_low,equal_high_promoted_to_1.5R,stacked_equal_high,-1.044776119402985
2025-10-30 13:05:00-04:00,2025-10-30 15:59:00-04:00,2025-10-30,-1,26016.5,25872.25,26097.25,25895.375,25872.25,2,323.0,528.75,530.75,True,242.25,288.5,runner_target,4H,equal_high,equal_low_promoted_to_1.5R,stacked_equal_low,1.6369969040247678
2025-11-11 14:10:00-05:00,2025-11-11 14:15:00-05:00,2025-11-11,-1,25652.0,25672.25,25672.0,25622.0,25597.5,8,320.0,-332.0,-324.0,False,0.0,-324.0,stop,4H,equal_high,equal_low_promoted_to_1.5R,stacked_equal_low,-1.0375
2025-12-02 14:05:00-05:00,2025-12-02 16:00:00-05:00,2025-12-02,1,25604.0,25601.75,25529.5,25715.75,25728.5,2,298.0,-11.0,-9.0,False,0.0,-9.0,session_flatten,4H,equal_low,equal_high_promoted_to_1.5R,stacked_equal_high,-0.03691275167785235
2025-12-05 12:50:00-05:00,2025-12-05 16:00:00-05:00,2025-12-05,1,25714.5,25735.75,25650.75,25810.125,,2,255.0,83.0,85.0,False,0.0,85.0,session_flatten,4H,equal_low,equal_high_promoted_to_1.5R,session_close_or_breakeven,0.3254901960784314
2025-12-11 13:55:00-05:00,2025-12-11 13:56:00-05:00,2025-12-11,-1,25644.5,25647.75,25647.5,25629.5,25603.5,40,240.0,-300.0,-260.0,False,0.0,-260.0,stop,4H,equal_high,equal_low,stacked_equal_low,-1.25
2025-12-31 12:10:00-05:00,2025-12-31 12:34:00-05:00,2025-12-31,-1,25570.25,25598.0,25597.75,25529.0,25516.25,5,275.0,-282.5,-277.5,False,0.0,-277.5,stop,4H,equal_high,equal_low_promoted_to_1.5R,stacked_equal_low,-1.0272727272727273
2026-01-21 13:55:00-05:00,2026-01-21 14:30:00-05:00,2026-01-21,1,25271.5,25463.0,25151.0,25452.25,25463.0,1,241.0,371.25,372.25,True,180.75,191.5,runner_target,4H,equal_low,equal_high_promoted_to_1.5R,stacked_equal_high,1.5404564315352698
2026-02-18 15:50:00-05:00,2026-02-18 16:00:00-05:00,2026-02-18,1,24966.75,24949.5,24855.75,25133.25,25145.5,1,222.0,-35.5,-34.5,False,0.0,-34.5,session_flatten,4H,equal_low,equal_high_promoted_to_1.5R,stacked_equal_high,-0.15990990990990991
2026-02-26 15:15:00-05:00,2026-02-26 16:00:00-05:00,2026-02-26,-1,25030.75,25072.25,25099.25,24928.0,24908.75,2,274.0,-168.0,-166.0,False,0.0,-166.0,session_flatten,4H,equal_high,prior_day_low_promoted_to_1.5R,stacked_equal_low,-0.6131386861313869
2026-03-03 15:25:00-05:00,2026-03-03 16:00:00-05:00,2026-03-03,-1,24755.25,24751.5,24850.5,24612.375,24594.75,1,190.5,6.5,7.5,False,0.0,7.5,session_flatten,4H,equal_high,equal_low_promoted_to_1.5R,stacked_equal_low,0.03412073490813648
2026-03-23 12:45:00-04:00,2026-03-23 16:00:00-04:00,2026-03-23,1,24420.0,24381.25,24304.75,24592.875,24605.75,1,230.5,-78.5,-77.5,False,0.0,-77.5,session_flatten,4H,equal_low,equal_high_promoted_to_1.5R,stacked_equal_high,-0.3405639913232104
2026-04-06 13:25:00-04:00,2026-04-06 13:34:00-04:00,2026-04-06,1,24297.75,24333.25,24282.75,24320.25,24333.25,10,300.0,570.0,580.0,True,225.0,355.0,runner_target,4H,equal_low,equal_high_promoted_to_1.5R,stacked_equal_high,1.9
2026-04-28 14:05:00-04:00,2026-04-28 14:06:00-04:00,2026-04-28,-1,27128.75,27129.25,27099.5,27084.875,27081.5,5,292.5,-10.0,-5.0,False,0.0,-5.0,gap_stop,4H,equal_high,equal_low_promoted_to_1.5R,stacked_equal_low,-0.03418803418803419
