entry_ts,exit_ts,session,side,entry_price,exit_price,stop_price,tp1_price,runner_target_price,contracts,risk_dollars,pnl,gross_pnl,tp1_hit,reason,sweep_pool,htf_timeframe
2024-08-14 13:55:00-04:00,2024-08-14 16:00:00-04:00,2024-08-14,1,19090.75,19117.0,19018.25,19199.5,19206.75,2,290.0,103.0,105.0,False,session_flatten,equal_low,4H
2024-10-16 13:20:00-04:00,2024-10-16 14:21:00-04:00,2024-10-16,-1,20309.5,20348.25,20348.0,20251.75,20239.75,4,308.0,-314.0,-310.0,False,stop,equal_high,4H
2024-11-13 15:05:00-05:00,2024-11-13 16:00:00-05:00,2024-11-13,-1,21159.5,21165.0,21269.0,20995.25,20885.0,1,219.0,-12.0,-11.0,False,session_flatten,equal_high,4H
2024-12-12 13:35:00-05:00,2024-12-12 14:23:00-05:00,2024-12-12,-1,21714.25,21669.5,21743.5,21670.375,21669.5,5,292.5,438.125,443.125,True,runner_target,equal_high,4H
2025-02-13 12:45:00-05:00,2025-02-13 13:19:00-05:00,2025-02-13,1,21989.0,21941.5,21941.75,22059.875,22077.0,3,283.5,-288.0,-285.0,False,stop,equal_low,4H
2025-02-20 13:00:00-05:00,2025-02-20 14:12:00-05:00,2025-02-20,-1,22043.5,22098.5,22098.25,21961.375,21943.0,2,219.0,-222.0,-220.0,False,stop,equal_high,4H
2025-02-24 12:55:00-05:00,2025-02-24 12:56:00-05:00,2025-02-24,-1,21624.75,21625.5,21625.0,21620.0,21599.5,40,20.0,-100.0,-60.0,False,gap_stop,equal_high,4H
2025-04-01 13:15:00-04:00,2025-04-01 14:00:00-04:00,2025-04-01,1,19566.0,19496.25,19496.5,19670.25,19690.0,2,278.0,-281.0,-279.0,False,stop,equal_low,4H
2025-04-22 15:45:00-04:00,2025-04-22 16:00:00-04:00,2025-04-22,1,18345.0,18426.25,18210.25,18547.125,18551.5,1,269.5,161.5,162.5,False,session_flatten,equal_low,4H
2025-05-23 14:20:00-04:00,2025-05-23 16:00:00-04:00,2025-05-23,-1,21031.25,20969.5,21075.0,20910.0,20887.5,3,262.5,367.5,370.5,False,session_flatten,equal_high,4H
2025-07-16 16:00:00-04:00,2025-07-16 16:00:00-04:00,2025-07-16,-1,23067.25,23067.75,23100.25,23017.75,23000.5,4,264.0,-8.0,-4.0,False,session_flatten,equal_high,4H
2025-07-22 14:15:00-04:00,2025-07-22 14:53:00-04:00,2025-07-22,-1,23214.75,23251.0,23250.75,23160.75,23150.5,4,288.0,-294.0,-290.0,False,stop,equal_high,4H
2025-08-07 14:55:00-04:00,2025-08-07 16:00:00-04:00,2025-08-07,1,23408.25,23525.0,23329.75,23526.0,23533.0,2,314.0,467.0,469.0,True,runner_session_flatten,equal_low,4H
2025-09-10 15:00:00-04:00,2025-09-10 15:03:00-04:00,2025-09-10,1,23862.0,23845.0,23845.25,23887.125,23902.5,9,301.5,-315.0,-306.0,False,stop,equal_low,4H
2025-10-30 13:05:00-04:00,2025-10-30 15:59:00-04:00,2025-10-30,-1,26016.5,25872.25,26097.25,25895.375,25872.25,2,323.0,528.75,530.75,True,runner_target,equal_high,4H
2025-11-11 14:10:00-05:00,2025-11-11 14:15:00-05:00,2025-11-11,-1,25652.0,25672.25,25672.0,25622.0,25597.5,8,320.0,-332.0,-324.0,False,stop,equal_high,4H
2025-12-02 14:05:00-05:00,2025-12-02 16:00:00-05:00,2025-12-02,1,25604.0,25601.75,25529.5,25715.75,25728.5,2,298.0,-11.0,-9.0,False,session_flatten,equal_low,4H
2025-12-05 12:50:00-05:00,2025-12-05 16:00:00-05:00,2025-12-05,1,25714.5,25735.75,25650.75,25810.125,,2,255.0,83.0,85.0,False,session_flatten,equal_low,4H
2025-12-11 13:55:00-05:00,2025-12-11 13:56:00-05:00,2025-12-11,-1,25644.5,25647.75,25647.5,25629.5,25603.5,40,240.0,-300.0,-260.0,False,stop,equal_high,4H
2025-12-31 12:10:00-05:00,2025-12-31 12:34:00-05:00,2025-12-31,-1,25570.25,25598.0,25597.75,25529.0,25516.25,5,275.0,-282.5,-277.5,False,stop,equal_high,4H
2026-01-21 13:55:00-05:00,2026-01-21 14:30:00-05:00,2026-01-21,1,25271.5,25463.0,25151.0,25452.25,25463.0,1,241.0,371.25,372.25,True,runner_target,equal_low,4H
2026-02-18 15:50:00-05:00,2026-02-18 16:00:00-05:00,2026-02-18,1,24966.75,24949.5,24855.75,25133.25,25145.5,1,222.0,-35.5,-34.5,False,session_flatten,equal_low,4H
2026-02-26 15:15:00-05:00,2026-02-26 16:00:00-05:00,2026-02-26,-1,25030.75,25072.25,25099.25,24928.0,24908.75,2,274.0,-168.0,-166.0,False,session_flatten,equal_high,4H
2026-03-03 15:25:00-05:00,2026-03-03 16:00:00-05:00,2026-03-03,-1,24755.25,24751.5,24850.5,24612.375,24594.75,1,190.5,6.5,7.5,False,session_flatten,equal_high,4H
2026-03-23 12:45:00-04:00,2026-03-23 16:00:00-04:00,2026-03-23,1,24420.0,24381.25,24304.75,24592.875,24605.75,1,230.5,-78.5,-77.5,False,session_flatten,equal_low,4H
2026-04-06 13:25:00-04:00,2026-04-06 13:34:00-04:00,2026-04-06,1,24297.75,24333.25,24282.75,24320.25,24333.25,10,300.0,570.0,580.0,True,runner_target,equal_low,4H
2026-04-28 15:20:00-04:00,2026-04-28 15:21:00-04:00,2026-04-28,-1,27177.0,27184.0,27183.75,27155.75,27108.25,24,324.0,-360.0,-336.0,False,stop,equal_high,4H
