entry_ts,exit_ts,session,side,entry_price,exit_price,stop_price,tp1_price,runner_target_price,contracts,risk_dollars,pnl,gross_pnl,tp1_hit,reason,sweep_pool,htf_timeframe
2024-07-15 15:50:00-04:00,2024-07-15 16:00:00-04:00,2024-07-15,-1,20531.5,20599.5,20643.5,20363.5,20327.25,1,224.0,-137.0,-136.0,False,session_flatten,equal_high,4H
2024-07-23 11:00:00-04:00,2024-07-23 11:13:00-04:00,2024-07-23,1,19987.0,20027.75,19960.0,20027.5,20027.75,6,324.0,481.5,487.5,True,runner_target,equal_low,4H
2024-08-07 12:30:00-04:00,2024-08-07 12:50:00-04:00,2024-08-07,1,18381.5,18279.5,18279.75,18534.125,18541.25,1,203.5,-205.0,-204.0,False,stop,equal_low,4H
2024-08-16 14:45:00-04:00,2024-08-16 16:00:00-04:00,2024-08-16,-1,19603.5,19604.75,19647.5,19537.5,19518.5,3,264.0,-10.5,-7.5,False,session_flatten,equal_high,4H
2024-08-20 14:15:00-04:00,2024-08-20 16:00:00-04:00,2024-08-20,1,19842.75,19822.0,19747.75,19985.25,19997.0,1,190.0,-42.5,-41.5,False,session_flatten,asia_low,4H
2024-08-30 13:05:00-04:00,2024-08-30 16:00:00-04:00,2024-08-30,1,19480.0,19601.0,19369.75,19645.375,19658.0,1,220.5,241.0,242.0,False,session_flatten,equal_low,4H
2024-10-16 11:00:00-04:00,2024-10-16 14:21:00-04:00,2024-10-16,-1,20273.5,20350.0,20349.75,20159.125,20141.0,2,305.0,-308.0,-306.0,False,stop,equal_high,4H
2024-10-28 12:30:00-04:00,2024-10-28 12:37:00-04:00,2024-10-28,-1,20551.0,20520.5,20560.25,20537.125,20520.5,17,314.5,737.375,754.375,True,runner_target,equal_high,4H
2024-10-31 15:55:00-04:00,2024-10-31 16:00:00-04:00,2024-10-31,-1,20058.75,20031.75,20101.75,19994.25,19993.0,3,258.0,159.0,162.0,False,session_flatten,equal_high,4H
2024-11-18 14:45:00-05:00,2024-11-18 16:00:00-05:00,2024-11-18,1,20629.0,20635.75,20590.25,20687.125,20695.0,4,310.0,50.0,54.0,False,session_flatten,equal_low,4H
2024-11-20 11:15:00-05:00,2024-11-20 11:46:00-05:00,2024-11-20,-1,20589.5,20645.0,20644.75,20506.625,20493.0,2,221.0,-224.0,-222.0,False,stop,equal_high,4H
2024-12-12 11:55:00-05:00,2024-12-12 12:59:00-05:00,2024-12-12,-1,21682.25,21740.25,21740.0,21595.625,21582.0,2,231.0,-234.0,-232.0,False,stop,equal_high,4H
2024-12-30 15:25:00-05:00,2024-12-30 15:57:00-05:00,2024-12-30,-1,21506.25,21445.5,21542.25,21452.25,21445.5,4,288.0,455.0,459.0,True,runner_target,equal_high,4H
2025-01-14 14:50:00-05:00,2025-01-14 14:57:00-05:00,2025-01-14,-1,20964.75,20889.75,21013.25,20892.0,20889.75,3,291.0,440.25,443.25,True,runner_target,equal_high,4H
2025-01-16 15:35:00-05:00,2025-01-16 16:00:00-05:00,2025-01-16,-1,21319.5,21238.5,21396.0,21204.75,21201.0,2,306.0,322.0,324.0,False,session_flatten,equal_high,4H
2025-01-20 12:35:00-05:00,2025-01-20 12:59:00-05:00,2025-01-20,1,21698.5,21680.25,21640.75,21785.125,21793.75,2,231.0,-75.0,-73.0,False,session_flatten,equal_low,4H
2025-01-29 16:00:00-05:00,2025-01-29 16:00:00-05:00,2025-01-29,-1,21478.75,21479.25,21601.25,21295.0,21282.0,1,245.0,-2.0,-1.0,False,session_flatten,equal_high,4H
2025-02-17 12:00:00-05:00,2025-02-17 12:59:00-05:00,2025-02-17,-1,22232.5,22235.5,22252.5,22202.5,22189.0,8,320.0,-56.0,-48.0,False,session_flatten,prior_rth_high,4H
2025-02-19 13:10:00-05:00,2025-02-19 13:30:00-05:00,2025-02-19,-1,22208.5,22254.0,22253.75,22140.625,22121.0,3,271.5,-276.0,-273.0,False,stop,equal_high,4H
2025-02-24 12:55:00-05:00,2025-02-24 12:56:00-05:00,2025-02-24,-1,21624.75,21625.5,21625.0,21620.0,21599.5,40,20.0,-100.0,-60.0,False,gap_stop,prior_day_high,4H
2025-02-27 11:30:00-05:00,2025-02-27 16:00:00-05:00,2025-02-27,-1,21075.75,20590.25,21167.5,20938.125,,1,183.5,622.125,623.125,True,runner_session_flatten,equal_high,4H
2025-03-17 12:10:00-04:00,2025-03-17 14:17:00-04:00,2025-03-17,1,19729.0,19886.5,19628.25,19880.125,19886.5,1,201.5,307.625,308.625,True,runner_target,equal_low,4H
2025-04-23 12:30:00-04:00,2025-04-23 12:58:00-04:00,2025-04-23,1,18847.0,18922.25,18798.0,18920.5,18922.25,3,294.0,443.25,446.25,True,runner_target,equal_low,4H
2025-06-12 16:00:00-04:00,2025-06-12 16:00:00-04:00,2025-06-12,1,21931.5,21931.0,21903.25,21973.875,21986.0,5,282.5,-10.0,-5.0,False,session_flatten,equal_low,4H
2025-06-30 13:05:00-04:00,2025-06-30 15:08:00-04:00,2025-06-30,-1,22830.5,22867.0,22866.75,22776.125,22765.5,4,290.0,-296.0,-292.0,False,stop,prior_rth_high,4H
2025-07-09 11:25:00-04:00,2025-07-09 16:00:00-04:00,2025-07-09,1,22978.25,23050.25,22927.5,23054.375,23072.0,3,304.5,441.375,444.375,True,runner_session_flatten,equal_low,4H
