tag,side,t_signal,t_entry,entry,stop0,t_exit,reason,gross_px,net_px,risk_px,R,gross_R,mfe_R,mae_R,net_usd_1,m_one,m_zero,m_level,m_bias,m_disp_i
F3_ote62_sl90_PDPW,1,2022-02-02 13:45:00+00:00,2022-02-02 14:41:00+00:00,114.2317,114.17150000000001,2022-02-02 15:47:00+00:00,target,0.13329999999999131,0.12279999999999132,0.0601999999999947,2.039867109634587,2.214285714285765,2.313953488372156,-0.6096345514952428,81.86666666666088,114.15,114.365,114.566,1,2174
F3_ote62_sl90_PDPW,1,2022-03-01 13:30:00+00:00,2022-03-01 15:45:00+00:00,114.7871,114.73249999999999,2022-03-01 16:14:00+00:00,target,0.120900000000006,0.11040000000000601,0.05460000000000775,2.0219780219778447,2.2142857142855097,2.269230769230559,-0.679487179486996,73.600000000004,114.713,114.908,114.86,1,3997
F3_ote62_sl90_PDPW,1,2022-07-19 13:15:00+00:00,2022-07-19 14:22:00+00:00,137.48716,137.4082,2022-07-19 14:58:00+00:00,target,0.17484000000001743,0.16434000000001742,0.07895999999999503,2.0813069908818105,2.214285714286074,2.3029381965556466,-0.5466058763931487,109.5600000000116,137.38,137.662,137.889,1,13590
F3_ote62_sl90_PDPW,-1,2022-10-28 12:30:00+00:00,2022-10-28 13:30:00+00:00,147.6415,147.8025,2022-10-28 13:31:00+00:00,target,0.35650000000001114,0.3970000000000273,0.16100000000000136,2.4658385093169186,2.2142857142857646,3.164596273292092,-0.17701863354024547,264.6666666666848,147.86,147.285,146.936,-1,20587
F3_ote62_sl90_PDPW,-1,2022-12-27 15:30:00+00:00,2022-12-27 16:33:00+00:00,133.4514,133.555,2022-12-27 20:53:00+00:00,stop,-0.10360000000000014,-0.11610000000000968,0.10360000000000014,-1.1206563706564627,-1.0,1.1525096525097769,-1.0579150579147858,-77.40000000000644,133.592,133.222,133.19,-1,24631
F3_ote62_sl90_PDPW,-1,2023-05-10 09:00:00+00:00,2023-05-10 13:25:00+00:00,135.374,135.444,2023-05-10 13:30:00+00:00,target,0.15500000000000114,0.14450000000000113,0.06999999999999318,2.0642857142859317,2.2142857142859462,9.500000000000812,-0.6285714285712429,96.33333333333408,135.469,135.219,135.324,-1,32149
F3_ote62_sl90_PDPW,1,2023-05-31 10:00:00+00:00,2023-05-31 13:11:00+00:00,139.56014000000002,139.37730000000002,2023-05-31 15:00:00+00:00,target,0.4048599999999851,0.3943599999999851,0.18283999999999878,2.156858455480134,2.214285714285648,4.5441916429664095,-0.263290308466518,262.90666666665675,139.312,139.965,139.57,1,33169
F3_ote62_sl90_PDPW,1,2023-11-17 11:45:00+00:00,2023-11-17 12:31:00+00:00,149.36787999999999,149.2626,2023-11-17 12:47:00+00:00,stop,-0.10527999999999338,-0.11778000000000292,0.10527999999999338,-1.1187310030396118,-1.0,0.2670972644377187,-1.2336626139817055,-78.52000000000194,149.225,149.601,150.285,1,43685
F3_ote62_sl90_PDPW,-1,2024-01-02 15:00:00+00:00,2024-01-02 15:48:00+00:00,141.94772,142.1454,2024-01-02 23:32:00+00:00,stop,-0.1976799999999912,-0.21018000000000076,0.1976799999999912,-1.0632335087009819,-1.0,1.177256171590504,-1.0030352084176017,-140.1200000000005,142.216,141.51,141.912,-1,46612
F3_ote62_sl90_PDPW,-1,2024-05-22 14:45:00+00:00,2024-05-22 15:32:00+00:00,156.52152,156.59040000000002,2024-05-22 19:11:00+00:00,stop,-0.06888000000000716,-0.0813800000000167,0.06888000000000716,-1.1814750290361244,-1.0,1.0528455284555478,-1.1684088269452086,-54.253333333344465,156.615,156.369,156.545,-1,56303
F3_ote62_sl90_PDPW,1,2024-10-31 11:15:00+00:00,2024-10-31 15:48:00+00:00,152.2326,152.003,2024-11-01 00:00:00+00:00,stop,-0.2296000000000049,-0.26609999999998696,0.2296000000000049,-1.1589721254354586,-1.0,0.5418118466899209,-1.3571428571428217,-177.3999999999913,151.921,152.741,152.778,1,67381
