tag,side,t_signal,t_entry,entry,stop0,t_exit,reason,gross_px,net_px,risk_px,R,gross_R,mfe_R,mae_R,net_usd_1,m_one,m_zero,m_level,m_bias,m_disp_i
F1_ote62_sl100_PD,-1,2023-09-08 08:00:00+00:00,2023-09-08 09:06:00+00:00,1.249906,1.25097,2023-09-08 10:01:00+00:00,target,0.0017359999999999598,0.0016659999999999598,0.0010639999999999539,1.5657894736842406,1.631578947368454,1.6691729323308993,-0.15413533834592114,166.599999999996,1.25097,1.24817,1.25094,-1,38850
F1_ote62_sl100_PD,-1,2023-10-06 13:45:00+00:00,2023-10-06 15:25:00+00:00,1.2184996,1.22195,2023-10-06 16:23:00+00:00,stop,-0.0034504000000001867,-0.003540400000000096,0.0034504000000001867,-1.026083932297677,-1.0,0.10421980060279533,-1.0289821469973806,-354.04000000000957,1.22195,1.21287,1.21956,-1,40790
F1_ote62_sl100_PD,1,2023-11-30 12:45:00+00:00,2023-11-30 13:37:00+00:00,1.26408,1.26313,2023-11-30 13:50:00+00:00,stop,-0.0009500000000000064,-0.0010399999999999153,0.0009500000000000064,-1.0947368421051666,-1.0,1.0842105263156394,-1.0947368421054158,-103.99999999999153,1.26313,1.26563,1.26644,1,44530
F1_ote62_sl100_PD,1,2024-01-15 15:30:00+00:00,2024-01-15 15:39:00+00:00,1.2717981999999999,1.27127,2024-01-15 15:50:00+00:00,target,0.0008618000000000237,0.0007918000000000237,0.0005281999999999787,1.4990533888679585,1.6315789473685316,1.8776978417270904,-0.29950776221087005,79.18000000000237,1.27127,1.27266,1.27192,1,47452
F1_ote62_sl100_PD,1,2024-02-01 12:15:00+00:00,2024-02-01 15:00:00+00:00,1.2641316,1.26249,2024-02-01 15:08:00+00:00,target,0.0026783999999999697,0.0026083999999999695,0.0016416000000001318,1.5889376218322124,1.6315789473682716,1.917884990253221,-0.11062378167647442,260.83999999999696,1.26249,1.26681,1.26576,1,48683
F1_ote62_sl100_PD,1,2024-02-14 11:00:00+00:00,2024-02-14 11:25:00+00:00,1.2540368,1.25352,2024-02-14 11:42:00+00:00,target,0.0008432000000000439,0.000773200000000044,0.0005167999999999839,1.496130030959884,1.6315789473685567,1.747678018575892,-0.729102167182598,77.3200000000044,1.25352,1.25488,1.25727,1,49542
F1_ote62_sl100_PD,-1,2024-02-20 15:45:00+00:00,2024-02-20 15:51:00+00:00,1.2659384,1.26682,2024-02-20 16:32:00+00:00,target,0.0014384000000000619,0.0013684000000000619,0.0008816000000000379,1.552177858439205,1.631578947368421,1.631578947368421,-0.43284936479112357,136.8400000000062,1.26682,1.2645,1.26295,-1,49945
F1_ote62_sl100_PD,-1,2024-05-13 08:15:00+00:00,2024-05-13 09:49:00+00:00,1.2528598,1.25354,2024-05-13 10:03:00+00:00,stop,-0.0006802000000001307,-0.0007702000000000396,0.0006802000000001307,-1.1323140252865211,-1.0,0.24963246104098225,-1.1764187003820565,-77.02000000000396,1.25354,1.25175,1.25302,-1,55575
F1_ote62_sl100_PD,-1,2024-06-19 10:45:00+00:00,2024-06-19 11:25:00+00:00,1.2733375999999998,1.27371,2024-06-19 11:51:00+00:00,stop,-0.00037240000000005047,-0.0004623999999999594,0.00037240000000005047,-1.24167561761519,-1.0,0.8259935553166535,-1.6444683136412068,-46.239999999995945,1.27371,1.27273,1.27207,-1,58177
F1_ote62_sl100_PD,-1,2024-06-25 07:15:00+00:00,2024-06-25 09:04:00+00:00,1.2694924,1.26988,2024-06-25 09:13:00+00:00,stop,-0.0003875999999998214,-0.00047759999999973037,0.0003875999999998214,-1.2321981424147328,-1.0,0.2899896800830116,-1.0257997936018322,-47.75999999997304,1.26988,1.26886,1.26977,-1,58547
F1_ote62_sl100_PD,-1,2024-08-15 13:45:00+00:00,2024-08-15 15:18:00+00:00,1.2846714,1.28694,2024-08-15 16:12:00+00:00,stop,-0.002268600000000065,-0.002358599999999974,0.002268600000000065,-1.0396720444326486,-1.0,0.1637133033588557,-1.1146081283610683,-235.85999999999743,1.28694,1.28097,1.28681,-1,62125
F1_ote62_sl100_PD,-1,2024-09-06 09:15:00+00:00,2024-09-06 13:29:00+00:00,1.318539,1.31928,2024-09-06 13:30:00+00:00,stop,-0.0007410000000001027,-0.0008310000000000116,0.0007410000000001027,-1.1214574898784029,-1.0,4.924426450741576,-2.997300944668989,-83.10000000000116,1.31928,1.31733,1.31852,-1,63643
F1_ote62_sl100_PD,-1,2024-10-25 15:45:00+00:00,2024-10-25 15:53:00+00:00,1.299259,1.29981,2024-10-25 16:26:00+00:00,target,0.0008989999999999831,0.0008289999999999832,0.0005509999999999682,1.504537205081726,1.6315789473684847,1.7767695099820684,-0.4192377495464711,82.89999999999831,1.29981,1.29836,1.29876,-1,67029
F1_ote62_sl100_PD,-1,2024-12-17 14:45:00+00:00,2024-12-17 15:11:00+00:00,1.2699122,1.27079,2024-12-17 15:16:00+00:00,stop,-0.0008778000000000397,-0.0009677999999999486,0.0008778000000000397,-1.1025290498973626,-1.0,0.2759170653909562,-1.5809979494187347,-96.77999999999486,1.27079,1.26848,1.26986,-1,70557
