tag,side,t_signal,t_entry,entry,stop0,t_exit,reason,gross_px,net_px,risk_px,R,gross_R,mfe_R,mae_R,net_usd_1,m_day,m_ref_nq,m_ref_es,m_n_ext,m_e_ext,m_fvg_edge,m_range_low,m_target
C1_3m_overnight,1,2024-07-23 15:03:00+00:00,2024-07-23 15:02:00+00:00,21927.5,21869.5,2024-07-23 15:03:00+00:00,target,2.75,2.0,58.0,0.034482758620689655,0.04741379310344827,0.15086206896551724,-0.1206896551724138,4.0,2024-07-23,21875.75,6075.75,21869.75,6076.75,21921.25,21990.25,21930.0
C1_3m_overnight,1,2024-10-16 14:12:00+00:00,2024-10-16 14:11:00+00:00,21990.0,21911.0,2024-10-16 14:13:00+00:00,target,17.625,16.875,79.0,0.21360759493670886,0.2231012658227848,0.2848101265822785,-0.06329113924050633,33.75,2024-10-16,21919.0,6264.0,21911.25,6265.0,21974.0,22103.5,22007.375
C1_3m_overnight,-1,2024-10-18 15:00:00+00:00,2024-10-18 14:59:00+00:00,22163.5,22229.5,2024-10-18 15:31:00+00:00,stop,-65.75,-66.75,66.0,-1.0113636363636365,-0.9962121212121212,0.026515151515151516,-1.128787878787879,-133.5,2024-10-18,22217.25,6317.25,22229.25,6311.75,22173.25,22027.0,22128.125
C1_3m_overnight,-1,2024-11-06 15:45:00+00:00,2024-11-06 15:44:00+00:00,22453.5,22528.25,2024-11-06 16:11:00+00:00,be,0.25,-0.75,74.75,-0.010033444816053512,0.0033444816053511705,0.7391304347826086,-0.2608695652173913,-1.5,2024-11-06,22512.75,6352.0,22528.0,6349.5,22459.25,22029.5,22278.75
C1_3m_overnight,-1,2024-12-02 15:57:00+00:00,2024-12-02 15:56:00+00:00,22861.0,22910.0,2024-12-02 16:37:00+00:00,stop,-48.75,-49.75,49.0,-1.0153061224489797,-0.9948979591836735,0.2857142857142857,-1.1173469387755102,-99.5,2024-12-02,22876.5,6472.75,22909.75,6472.0,22862.75,22645.75,22777.75
C1_3m_overnight,-1,2024-12-06 15:54:00+00:00,2024-12-06 15:53:00+00:00,23302.0,23351.75,2024-12-06 18:07:00+00:00,stop,-49.5,-50.5,49.75,-1.015075376884422,-0.9949748743718593,0.46733668341708545,-1.185929648241206,-101.0,2024-12-06,23320.5,6521.75,23351.5,6521.75,23303.0,23130.0,23240.75
C1_3m_overnight,-1,2025-01-03 15:15:00+00:00,2025-01-03 15:14:00+00:00,22781.5,22873.75,2025-01-03 15:16:00+00:00,be,0.25,-0.75,92.25,-0.008130081300813009,0.0027100271002710027,0.24932249322493225,-0.2140921409214092,-1.5,2025-01-03,22867.25,6302.5,22873.5,6301.75,22800.25,22577.0,22725.25
C1_3m_overnight,1,2025-01-17 15:33:00+00:00,2025-01-17 15:32:00+00:00,22975.75,22913.5,2025-01-17 15:38:00+00:00,be,0.25,-0.75,62.25,-0.012048192771084338,0.004016064257028112,0.4578313253012048,-0.0642570281124498,-1.5,2025-01-17,22919.75,6349.5,22913.75,6354.5,22973.5,23112.75,23013.25
C1_3m_overnight,-1,2025-02-06 15:21:00+00:00,2025-02-06 15:20:00+00:00,23257.25,23282.5,2025-02-06 15:39:00+00:00,target,47.0,46.25,25.25,1.8316831683168318,1.8613861386138615,2.742574257425743,-0.6138613861386139,92.5,2025-02-06,23255.5,6443.0,23282.25,6440.0,23262.75,23138.75,23210.5
C1_3m_overnight,1,2025-03-13 14:06:00+00:00,2025-03-13 14:05:00+00:00,20869.5,20756.5,2025-03-13 14:19:00+00:00,target,72.375,71.625,113.0,0.6338495575221239,0.6404867256637168,0.8451327433628318,-0.3827433628318584,143.25,2025-03-13,20771.5,5893.5,20756.75,5893.75,20858.75,21126.5,20941.625
C1_3m_overnight,1,2025-03-17 14:45:00+00:00,2025-03-17 14:44:00+00:00,21183.75,21108.5,2025-03-17 14:59:00+00:00,stop,-75.0,-76.0,75.25,-1.0099667774086378,-0.9966777408637874,0.06976744186046512,-1.0664451827242525,-152.0,2025-03-17,21116.75,5968.5,21108.75,5986.0,21171.5,21280.75,21194.75
C1_3m_overnight,-1,2025-03-25 14:03:00+00:00,2025-03-25 14:02:00+00:00,21604.5,21670.25,2025-03-25 14:29:00+00:00,stop,-65.5,-66.5,65.75,-1.0114068441064639,-0.9961977186311787,0.12927756653992395,-1.144486692015209,-133.0,2025-03-25,21660.0,6118.25,21670.0,6108.75,21623.5,21517.0,21593.5
C1_3m_overnight,-1,2025-04-25 14:51:00+00:00,2025-04-25 14:50:00+00:00,20556.0,20631.0,2025-04-25 14:56:00+00:00,target,20.75,20.0,75.0,0.26666666666666666,0.27666666666666667,0.27666666666666667,-0.4066666666666667,40.0,2025-04-25,20588.25,5810.25,20630.75,5808.75,20561.5,20440.25,20535.5
C1_3m_overnight,1,2025-04-30 14:03:00+00:00,2025-04-30 14:02:00+00:00,20399.25,20327.0,2025-04-30 15:00:00+00:00,target,188.75,188.0,72.25,2.602076124567474,2.612456747404844,2.8442906574394464,-0.328719723183391,376.0,2025-04-30,20331.0,5741.0,20327.25,5742.5,20380.25,20848.25,20587.75
C1_3m_overnight,1,2025-05-06 14:06:00+00:00,2025-05-06 14:05:00+00:00,21025.25,20963.0,2025-05-06 14:20:00+00:00,target,87.875,87.125,62.25,1.3995983935742973,1.4116465863453815,1.497991967871486,-0.26506024096385544,174.25,2025-05-06,20971.75,5892.5,20963.25,5894.0,21009.25,21262.5,21112.875
C1_3m_overnight,-1,2025-06-24 14:51:00+00:00,2025-06-24 14:50:00+00:00,23319.25,23340.5,2025-06-24 15:00:00+00:00,be,0.25,-0.75,21.25,-0.03529411764705882,0.011764705882352941,0.9176470588235294,-0.8,-1.5,2025-06-24,23333.0,6362.0,23340.25,6361.5,23324.5,23064.25,23202.25
C1_3m_overnight,-1,2025-07-09 14:30:00+00:00,2025-07-09 14:29:00+00:00,24048.25,24111.25,2025-07-09 14:36:00+00:00,target,71.5,70.75,63.0,1.123015873015873,1.1349206349206349,1.3571428571428572,-0.007936507936507936,141.5,2025-07-09,24096.75,6547.0,24111.0,6544.75,24064.5,23843.0,23977.0
C1_3m_overnight,1,2025-07-22 14:36:00+00:00,2025-07-22 14:35:00+00:00,24218.75,24104.5,2025-07-22 17:28:00+00:00,target,17.625,16.875,114.25,0.14770240700218817,0.15426695842450766,0.27571115973741794,-0.5229759299781181,33.75,2025-07-22,24111.75,6550.5,24104.75,6551.0,24203.0,24367.5,24236.125
C1_3m_overnight,1,2025-07-24 14:48:00+00:00,2025-07-24 14:47:00+00:00,24358.75,24298.0,2025-07-24 14:48:00+00:00,target,1.75,1.0,60.75,0.01646090534979424,0.02880658436213992,0.09053497942386832,-0.00411522633744856,2.0,2025-07-24,24333.25,6626.25,24298.25,6628.25,24355.25,24422.25,24360.25
C1_3m_overnight,-1,2025-08-07 14:06:00+00:00,2025-08-07 14:05:00+00:00,24626.25,24671.25,2025-08-07 14:55:00+00:00,target,98.5,97.75,45.0,2.172222222222222,2.188888888888889,2.3666666666666667,-0.65,195.5,2025-08-07,24658.75,6646.25,24671.0,6644.5,24632.75,24385.0,24528.0
C1_3m_overnight,1,2025-08-21 14:03:00+00:00,2025-08-21 14:02:00+00:00,24257.5,24154.75,2025-08-21 14:04:00+00:00,target,4.875,4.125,102.75,0.040145985401459854,0.04744525547445255,0.10948905109489052,-0.15085158150851583,8.25,2025-08-21,24174.75,6607.25,24155.0,6610.25,24214.75,24369.25,24262.125
C1_3m_overnight,-1,2025-09-03 14:15:00+00:00,2025-09-03 14:14:00+00:00,24391.25,24461.0,2025-09-03 14:25:00+00:00,stop,-69.5,-70.5,69.75,-1.010752688172043,-0.996415770609319,0.0,-1.053763440860215,-141.0,2025-09-03,24456.75,6686.25,24460.75,6682.75,24395.5,24299.5,24380.125
C1_3m_overnight,-1,2025-09-29 15:12:00+00:00,2025-09-29 15:11:00+00:00,25662.25,25731.75,2025-09-29 15:36:00+00:00,target,56.625,55.875,69.5,0.8039568345323741,0.814748201438849,0.9964028776978417,-0.0035971223021582736,111.75,2025-09-29,25711.5,6910.5,25731.5,6906.0,25672.5,25480.25,25605.875
C1_3m_overnight,1,2025-10-03 14:39:00+00:00,2025-10-03 14:38:00+00:00,25870.25,25807.25,2025-10-03 14:40:00+00:00,target,10.5,9.75,63.0,0.15476190476190477,0.16666666666666666,0.23412698412698413,-0.10714285714285714,19.5,2025-10-03,25856.5,6942.75,25807.5,6946.5,25856.5,25953.5,25880.5
C1_3m_overnight,-1,2025-10-23 14:54:00+00:00,2025-10-23 14:53:00+00:00,25921.0,25956.0,2025-10-23 15:31:00+00:00,stop,-34.75,-35.75,35.0,-1.0214285714285714,-0.9928571428571429,0.6928571428571428,-1.2857142857142858,-71.5,2025-10-23,25936.25,6940.75,25955.75,6937.0,25926.25,25689.75,25822.75
C1_3m_overnight,1,2025-10-28 14:54:00+00:00,2025-10-28 14:53:00+00:00,26794.75,26764.75,2025-10-28 15:02:00+00:00,target,13.25,12.5,30.0,0.4166666666666667,0.44166666666666665,0.45,-0.25833333333333336,25.0,2025-10-28,26765.25,7081.5,26765.0,7084.75,26794.25,26850.5,26807.75
C1_3m_overnight,-1,2025-11-05 15:03:00+00:00,2025-11-05 15:02:00+00:00,26416.0,26451.75,2025-11-05 15:06:00+00:00,stop,-35.5,-36.5,35.75,-1.020979020979021,-0.993006993006993,0.46853146853146854,-1.6013986013986015,-73.0,2025-11-05,26447.25,6999.25,26451.5,6996.5,26417.5,26039.25,26245.375
C1_3m_overnight,-1,2025-12-01 16:12:00+00:00,2025-12-01 16:11:00+00:00,26109.75,26176.5,2025-12-01 16:42:00+00:00,stop,-66.5,-67.5,66.75,-1.0112359550561798,-0.9962546816479401,0.4606741573033708,-1.0861423220973783,-135.0,2025-12-01,26136.25,7019.0,26176.25,7018.75,26113.0,25950.0,26063.125
C1_3m_overnight,1,2025-12-10 16:12:00+00:00,2025-12-10 16:11:00+00:00,26355.0,26284.5,2025-12-10 16:19:00+00:00,target,39.0,38.25,70.5,0.5425531914893617,0.5531914893617021,0.5886524822695035,-0.06028368794326241,76.5,2025-12-10,26323.5,7005.5,26284.75,7007.0,26340.5,26502.75,26393.75
C1_3m_overnight,-1,2026-01-07 15:39:00+00:00,2026-01-07 15:38:00+00:00,26360.5,26429.75,2026-01-07 15:39:00+00:00,target,18.75,18.0,69.25,0.259927797833935,0.27075812274368233,0.34657039711191334,-0.30324909747292417,36.0,2026-01-07,26407.5,7118.0,26429.5,7114.25,26403.25,26254.5,26342.0
C1_3m_overnight,1,2026-01-08 15:06:00+00:00,2026-01-08 15:05:00+00:00,26165.5,26096.75,2026-01-08 15:28:00+00:00,target,72.125,71.375,68.75,1.038181818181818,1.049090909090909,1.0981818181818181,-0.19636363636363635,142.75,2026-01-08,26125.0,7059.75,26097.0,7063.75,26151.5,26377.75,26237.375
C1_3m_overnight,1,2026-01-15 15:24:00+00:00,2026-01-15 15:23:00+00:00,26422.75,26364.5,2026-01-15 15:24:00+00:00,target,0.75,0.0,58.25,0.0,0.012875536480686695,0.351931330472103,-0.012875536480686695,0.0,2026-01-15,26370.25,7114.25,26364.75,7115.0,26421.5,26481.75,26423.25
C1_3m_overnight,-1,2026-01-27 15:06:00+00:00,2026-01-27 15:05:00+00:00,26552.0,26593.75,2026-01-27 15:09:00+00:00,stop,-41.5,-42.5,41.75,-1.0179640718562875,-0.9940119760479041,0.059880239520958084,-1.1317365269461077,-85.0,2026-01-27,26588.5,7127.5,26593.5,7127.25,26558.0,26367.25,26480.375
C1_3m_overnight,1,2026-01-30 15:36:00+00:00,2026-01-30 15:35:00+00:00,26410.75,26297.5,2026-01-30 15:41:00+00:00,target,11.625,10.875,113.25,0.09602649006622517,0.10264900662251655,0.13245033112582782,-0.44370860927152317,21.75,2026-01-30,26332.5,7074.75,26297.75,7076.75,26405.25,26546.5,26422.125
C1_3m_overnight,-1,2026-02-25 15:57:00+00:00,2026-02-25 15:56:00+00:00,25799.25,25888.75,2026-02-25 19:02:00+00:00,stop,-89.25,-90.25,89.5,-1.0083798882681565,-0.9972067039106145,0.0335195530726257,-1.0865921787709498,-180.5,2026-02-25,25879.5,7068.75,25888.5,7064.5,25807.25,25519.75,25704.125
C1_3m_overnight,1,2026-03-27 14:15:00+00:00,2026-03-27 14:14:00+00:00,23839.5,23759.75,2026-03-27 14:22:00+00:00,be,0.25,-0.75,79.75,-0.009404388714733543,0.003134796238244514,0.44200626959247646,-0.4043887147335423,-1.5,2026-03-27,23788.0,6522.25,23760.0,6523.0,23836.5,24291.75,24025.875
C1_3m_overnight,1,2026-03-30 15:00:00+00:00,2026-03-30 14:59:00+00:00,23693.75,23578.0,2026-03-30 15:05:00+00:00,target,43.625,42.875,115.75,0.37041036717062636,0.37688984881209503,0.5183585313174947,-0.0064794816414686825,85.75,2026-03-30,23609.0,6482.0,23578.25,6482.75,23665.0,23896.0,23737.125
C1_3m_overnight,1,2026-05-18 14:09:00+00:00,2026-05-18 14:08:00+00:00,29559.5,29434.0,2026-05-18 14:11:00+00:00,target,25.75,25.0,125.5,0.199203187250996,0.2051792828685259,0.23107569721115537,-0.21115537848605578,50.0,2026-05-18,29450.5,7483.5,29434.25,7494.0,29543.5,29735.75,29585.0
C1_3m_overnight,1,2026-05-21 14:39:00+00:00,2026-05-21 14:38:00+00:00,29567.0,29443.0,2026-05-21 15:48:00+00:00,target,44.5,43.75,124.0,0.3528225806451613,0.3588709677419355,0.3810483870967742,-0.9112903225806451,87.5,2026-05-21,29488.25,7478.75,29443.25,7479.75,29566.0,29779.25,29611.25
C1_3m_overnight,1,2026-05-27 14:39:00+00:00,2026-05-27 14:38:00+00:00,30308.0,30191.75,2026-05-27 20:00:00+00:00,time,55.75,54.75,116.25,0.47096774193548385,0.47956989247311826,0.6795698924731183,-0.9870967741935484,109.5,2026-05-27,30253.5,7593.75,30192.0,7594.0,30278.0,30696.0,30444.0
C1_3m_overnight,1,2026-06-04 14:12:00+00:00,2026-06-04 14:11:00+00:00,30583.5,30468.0,2026-06-04 14:58:00+00:00,target,81.875,81.125,115.5,0.7023809523809523,0.7088744588744589,0.7142857142857143,-0.23376623376623376,162.25,2026-06-04,30503.5,7610.0,30468.25,7618.0,30563.75,30862.0,30665.125
C1_3m_overnight,-1,2026-06-18 14:30:00+00:00,2026-06-18 14:29:00+00:00,30521.0,30643.25,2026-06-18 14:31:00+00:00,be,0.25,-0.75,122.25,-0.006134969325153374,0.002044989775051125,0.4723926380368098,-0.026584867075664622,-1.5,2026-06-18,30615.0,7581.5,30643.0,7566.25,30570.5,30092.25,30367.625
