sunday,hl_move_bp,gap_bp,r15_bp,r60_bp,r120_bp,resid_bp
2026-03-29,-24.760100019556635,-28.565298913561204,-3.919416840956058,3.917881259957294,-18.827226585047203,3.805198894004569
2026-04-12,-178.34490535608415,-102.87666928704077,-12.15134090417601,-22.10434144934219,-13.625234565416386,-75.46823606904339
2026-04-19,-103.01368172039491,-85.16058406281941,0.3519453781143879,10.201390384305029,4.926108473999814,-17.853097657575503
2026-04-26,13.259176942706338,-15.297965572984157,-15.321404208973664,-3.8281508758927267,-9.0507194537665,28.557142515690494
2026-05-03,44.101962055945265,37.87100856211624,-10.31424144247682,-13.066503475194391,-18.229037361428087,6.230953493829027
2026-05-10,-11.096377224533382,-23.271903789586464,-5.404127533824868,0.6753106431532371,-1.3507581150441883,12.175526565053081
2026-05-17,7.298086603523368,-10.453021368905663,27.626188313599187,25.943847837565876,1.3493910893195042,17.751107972429033
2026-05-24,71.27537815538834,45.65837529843139,16.27988465280574,19.26718863319925,24.907440271585045,25.61700285695695
2026-05-31,13.325858752013925,5.597537229836532,-0.658371189914799,8.883771251370566,13.815791671271594,7.728321522177393
2026-06-07,27.824358141100962,0.33929934688228014,25.0762584809052,-0.6786102065582836,43.33554535554898,27.48505879421868
2026-06-14,121.97719744597963,58.662991087524354,28.036465746480843,19.70049220563423,22.70224324960281,63.31420635845527
2026-06-28,18.129652391841645,0.33793487998151767,50.56133736338977,48.88007170264371,66.3514332009574,17.791717511860128
2026-07-12,-23.396152291503782,-24.617214932942783,-18.091217538900928,-8.548133082324041,-10.5218172992573,1.2210626414390013
2026-07-19,-1.878891996079274,-14.019161814076124,-1.3361838608872891,15.019778862089487,26.353113408510357,12.14026981799685
2026-07-26,52.38328445346724,60.26938487225682,6.674231042656294,4.005073146121138,29.000503666598636,-7.886100418789582
2026-08-02,55.28343429547244,62.78151797533102,7.282357157321223,-5.299592717855406,2.3176889434105354,-7.498083679858581
2026-08-09,16.112922824839913,-0.3214555507613093,-10.935641628874386,-10.613834359220105,-12.866702752960162,16.434378375601224
2026-08-16,9.7657512612079,8.96803596073277,2.2407529023476553,1.6005890201755764,4.160998699708502,0.7977153004751294
2026-08-23,9.905765704486965,8.126778179902578,-12.680660443163948,-5.525490527854264,11.04183016837371,1.7789875245843874
2026-08-30,15.421402515862503,-1.9419989703703158,-16.522235879754366,-18.143533245454684,-44.77038363108549,17.36340148623282
2026-09-06,23.18879168441171,0.3240388198779878,8.421325884748127,8.745081449325756,6.154743395727434,22.864752864533724
2026-09-13,-44.78029820790263,21.8408314617773,1.9535701556612401,10.414633500094391,6.184996697761495,-66.62112966967993
2026-09-20,-16.732904970928526,-4.207732579762667,4.854918937299025,15.204208347457863,15.850683442230206,-12.52517239116586
