sunday,hl_move_bp,gap_bp,r15_bp,r60_bp,r120_bp,resid_bp
2026-03-08,-152.1750710629519,-144.99963029512813,-9.673171084390345,-37.61320585947897,-77.13036239800866,-7.175440767823773
2026-03-15,13.572708604687584,-19.538084902376422,10.39078708531813,73.12290613360224,62.69484347901799,33.110793507064
2026-03-22,-63.99954917377553,-125.90804380976405,24.015632137479873,54.31821229864659,38.39737605764798,61.908494635988525
2026-03-29,-28.653314732863937,-27.343304474384237,2.0479544778961065,7.435305109220367,-27.418275145769318,-1.3100102584797
2026-04-12,-194.6484651269455,-130.62083217080456,-1.099873515654095,-19.014837297856076,-8.101904390608096,-64.02763295614093
2026-04-19,-127.52483705543497,-89.34436200256383,4.603640715480522,23.37206273354896,20.559044064685953,-38.180475052871145
2026-04-26,19.403619553266687,-13.401467050257398,-16.79997473400076,-2.9197080499388504,-7.0269903190396805,32.80508660352409
2026-05-03,38.6289041512562,37.811642702264955,-7.802096200134514,-13.00687753734522,-23.06516254982381,0.8172614489912462
2026-05-10,8.210461957589725,-13.986016265834893,-7.341956192695958,-0.17068195977476947,3.327716065607212,22.19647822342462
2026-05-17,11.341961312782015,-12.862730730022976,39.99166105672871,33.32322729304662,-6.179992471699618,24.204692042804993
2026-05-24,77.4896018556847,52.62214243577434,32.4653763824545,44.54986858411255,56.53600633418859,24.867459419910354
2026-05-31,26.34266727992522,9.785661909201082,0.9040736744023202,12.977947527719842,20.03482129740179,16.557005370724138
2026-06-07,79.22683244435129,5.288551276990266,52.38737051789456,17.319920501291833,83.55103930267052,73.93828116736103
2026-06-14,132.70972248665797,50.165432307761314,78.06506070730785,74.90421523801558,75.2369828664107,82.54429017889666
2026-06-28,36.102984183368704,-3.243953896009113,89.41988046909628,94.66500558406071,115.02722339799506,39.346938079377814
2026-07-12,-19.108606360848576,-37.4006591660822,-30.339651591537496,-15.785191092195783,-21.05246347760671,18.292052805233624
2026-07-19,-2.799356166366715,-7.389216427316901,-11.05054212246809,23.71305719580777,42.34867567905233,4.589860260950186
2026-07-26,72.88713582574168,68.56425358702579,39.481280193127624,37.908513518558635,79.24241728691545,4.322882238715891
2026-08-02,104.24306838351116,99.73434296737369,19.670847599209917,1.0500892585516048,16.08926388945071,4.508725416137466
2026-08-09,21.834436528513447,3.5180299395374837,-7.875401507920415,-2.4289836498060087,-7.288721654756985,18.316406588975962
2026-08-16,16.630637460197526,4.558773023049953,9.442480263581565,12.422464723492704,15.40156141721209,12.071864437147575
2026-08-23,20.801016860645095,7.572889419087576,-20.945804023888634,-0.850600524483003,25.48443007195331,13.228127441557518
2026-08-30,19.333508947601782,8.637553569055315,-21.777547236584006,-31.367920256320176,-83.55446256272629,10.695955378546467
2026-09-06,39.92966864526995,3.3017690162258773,14.971265584320783,14.210555418752866,7.953632436890481,36.62789962904407
2026-09-13,-99.5816253733605,-110.32730829730197,-16.094678030498855,-0.257999045417781,-18.420650103475953,10.745682923941473
2026-09-20,-12.146979932676107,-7.345760240830883,19.68783744443256,29.184197886859792,30.349796089829688,-4.801219691845224
