strategy,instrument,filter,session,entry_ts,side,signal_price,entry_price,target_price,stop_price,target_ticks,stop_ticks,exit_ts,exit_price,reason,gross_pnl,pnl,theoretical_gross_win
vwap_reversion,ES,time_of_day,2024-07-02,2024-07-02 13:45:00+00:00,-1,5533.25,5533.0,5527.0,5538.25,25,20,2024-07-02 13:50:00+00:00,5527.0,target,300.0,296.5,312.5
vwap_reversion,ES,time_of_day,2024-07-02,2024-07-02 13:55:00+00:00,1,5527.75,5528.0,5534.0,5522.75,25,20,2024-07-02 14:04:00+00:00,5534.0,target,300.0,296.5,312.5
vwap_reversion,ES,time_of_day,2024-07-02,2024-07-02 14:10:00+00:00,1,5524.75,5525.0,5531.0,5519.75,25,20,2024-07-02 14:14:00+00:00,5531.0,target,300.0,296.5,312.5
vwap_reversion,ES,time_of_day,2024-07-03,2024-07-03 13:46:00+00:00,-1,5571.75,5571.5,5565.5,5576.75,25,20,2024-07-03 14:00:00+00:00,5577.0,stop,-275.0,-278.5,312.5
vwap_reversion,ES,time_of_day,2024-07-03,2024-07-03 14:01:00+00:00,-1,5573.25,5573.0,5567.0,5578.25,25,20,2024-07-03 15:14:00+00:00,5578.5,stop,-275.0,-278.5,312.5
vwap_reversion,ES,time_of_day,2024-07-03,2024-07-03 15:15:00+00:00,-1,5580.5,5580.25,5574.25,5585.5,25,20,2024-07-03 16:14:00+00:00,5585.75,stop,-275.0,-278.5,312.5
vwap_reversion,ES,time_of_day,2024-07-05,2024-07-05 13:53:00+00:00,-1,5596.75,5596.5,5590.5,5601.75,25,20,2024-07-05 14:00:00+00:00,5602.0,stop,-275.0,-278.5,312.5
vwap_reversion,ES,time_of_day,2024-07-05,2024-07-05 14:01:00+00:00,-1,5602.25,5602.0,5596.0,5607.25,25,20,2024-07-05 14:06:00+00:00,5596.0,target,300.0,296.5,312.5
vwap_reversion,ES,time_of_day,2024-07-05,2024-07-05 14:07:00+00:00,-1,5595.0,5594.75,5588.75,5600.0,25,20,2024-07-05 14:08:00+00:00,5588.75,target,300.0,296.5,312.5
vwap_reversion,ES,time_of_day,2024-07-08,2024-07-08 13:45:00+00:00,-1,5633.5,5633.25,5627.25,5638.5,25,20,2024-07-08 14:20:00+00:00,5627.25,target,300.0,296.5,312.5
vwap_reversion,ES,time_of_day,2024-07-08,2024-07-08 14:21:00+00:00,-1,5628.5,5628.25,5622.25,5633.5,25,20,2024-07-08 15:38:00+00:00,5622.25,target,300.0,296.5,312.5
