session,c0,p1530,p1600,r_rod,side,gross,pnl,traded,always_long_pnl,r_onfh,onfh_pnl,notional
2024-07-02,20049.0,20225.75,20256.25,0.008815901042446006,1,61.0,59.0,True,59.0,0.0007356975410244271,59.0,40451.5
2024-07-05,20381.5,20623.0,20622.0,0.011848980693275779,1,-2.0,-4.0,True,-4.0,0.006500993548070655,-4.0,41246.0
2024-07-08,20622.0,20624.25,20666.25,0.00010910677916786682,1,84.0,82.0,True,82.0,0.000630394724081107,82.0,41248.5
2024-07-09,20666.25,20664.5,20679.5,-8.467912659526622e-05,-1,-30.0,-32.0,True,28.0,0.004004112986149,28.0,41329.0
2024-07-10,20679.5,20870.0,20893.75,0.009212021567252648,1,47.5,45.5,True,45.5,0.004086172296235313,45.5,41740.0
2024-07-11,20893.75,20435.75,20429.5,-0.021920430750822617,-1,12.5,10.5,True,-14.5,-0.0011606341609332604,10.5,40871.5
2024-07-12,20429.5,20675.75,20540.25,0.012053647911108856,1,-271.0,-273.0,True,-273.0,0.005531217112508813,-273.0,41351.5
2024-07-15,20540.25,20620.75,20593.5,0.003919134382492917,1,-54.5,-56.5,True,-56.5,0.004259928676622726,-56.5,41241.5
2024-07-16,20593.5,20578.0,20599.75,-0.0007526646757471944,-1,-43.5,-45.5,True,41.5,-0.0005948478888969655,-45.5,41156.0
2024-07-17,20599.75,20056.25,19992.5,-0.02638381533756473,-1,127.5,125.5,True,-129.5,-0.01896867680433012,125.5,40112.5
2024-07-18,19992.5,19823.75,19893.5,-0.008440665249468515,-1,-139.5,-141.5,True,137.5,0.003776416156058504,137.5,39647.5
2024-07-19,19893.5,19768.75,19712.75,-0.006270892502576175,-1,112.0,110.0,True,-114.0,-0.0004901098348706334,110.0,39537.5
2024-07-22,19712.75,19994.25,19998.0,0.014280097906177458,1,7.5,5.5,True,5.5,0.013075293908764607,5.5,39988.5
2024-07-23,19998.0,19987.5,19924.5,-0.0005250525052504784,-1,126.0,124.0,True,-128.0,0.0004250425042504613,-128.0,39975.0
2024-07-24,19924.5,19217.25,19204.75,-0.03549649928480014,-1,25.0,23.0,True,-27.0,-0.020690607041581988,23.0,38434.5
2024-07-25,19204.75,19215.75,18991.25,0.0005727749645270119,1,-449.0,-451.0,True,-451.0,-0.009034223304130506,447.0,38431.5
2024-07-26,18991.25,19183.75,19175.75,0.010136246955834816,1,-16.0,-18.0,True,-18.0,0.007516619495820498,-18.0,38367.5
2024-07-29,19175.75,19240.5,19209.0,0.003376660626051242,1,-63.0,-65.0,True,-65.0,0.009517228791572796,-65.0,38481.0
2024-07-30,19209.0,18936.0,18939.25,-0.014212088083710772,-1,-6.5,-8.5,True,4.5,0.000819928158675598,4.5,37872.0
2024-07-31,18939.25,19437.25,19496.0,0.026294599838958765,1,117.5,115.5,True,115.5,0.02383938117929696,115.5,38874.5
2024-08-01,19496.0,18976.25,19028.0,-0.026659314731226957,-1,-103.5,-105.5,True,101.5,0.0074117767747230445,101.5,37952.5
2024-08-02,19028.0,18553.25,18561.25,-0.02495007357578305,-1,-16.0,-18.0,True,14.0,-0.023846436829934814,-18.0,37106.5
2024-08-05,18561.25,17983.25,18020.5,-0.03114014411744903,-1,-74.5,-76.5,True,72.5,-0.036635463667587076,-76.5,35966.5
2024-08-06,18020.5,18342.0,18171.25,0.017840792430842578,1,-341.5,-343.5,True,-343.5,0.006714575067284567,-343.5,36684.0
2024-08-07,18171.25,18091.0,17972.25,-0.0044163169842470484,-1,237.5,235.5,True,-239.5,0.019206163582582425,-239.5,36182.0
2024-08-08,17972.25,18443.25,18519.0,0.026207069231732216,1,151.5,149.5,True,149.5,0.013145265617827473,149.5,36886.5
2024-08-09,18519.0,18607.25,18610.0,0.004765376100221319,1,5.5,3.5,True,3.5,-0.004738376802203126,-7.5,37214.5
2024-08-12,18610.0,18620.5,18644.5,0.0005642127888232373,1,48.0,46.0,True,46.0,-0.0037479849543256005,-50.0,37241.0
2024-08-13,18644.5,19060.25,19101.25,0.022298801255061784,1,82.0,80.0,True,80.0,0.013663546890503975,80.0,38120.5
2024-08-14,19101.25,19059.5,19108.0,-0.002185720829788629,-1,-97.0,-99.0,True,95.0,-0.0037955631175969895,-99.0,38119.0
