entry_ts,exit_ts,side,entry_price,exit_price,stop_price,target_price,pnl,reason,session
2024-07-01 10:34:00,2024-07-01 10:36:00,-1,19913.25,19945.5,19945.25,19817.25,-65.5,stop,2024-07-01
2024-07-02 09:40:00,2024-07-02 10:10:00,1,20049.25,20026.5,20026.75,20116.75,-46.5,stop,2024-07-02
2024-07-05 10:13:00,2024-07-05 15:55:00,1,20489.5,20635.25,20427.75,20674.75,290.5,session_flatten,2024-07-05
2024-07-08 10:00:00,2024-07-08 11:22:00,-1,20607.0,20654.5,20654.25,20465.25,-96.0,stop,2024-07-08
2024-07-09 10:24:00,2024-07-09 15:55:00,-1,20718.5,20669.75,20772.0,20558.0,96.5,session_flatten,2024-07-09
2024-07-11 09:52:00,2024-07-11 09:59:00,-1,20834.25,20870.75,20870.5,20725.5,-74.0,stop,2024-07-11
2024-07-17 09:59:00,2024-07-17 11:41:00,-1,20208.75,20086.5,20249.5,20086.5,243.5,target,2024-07-17
2024-07-18 10:27:00,2024-07-18 10:41:00,-1,20060.5,19920.25,20107.25,19920.25,279.5,target,2024-07-18
2024-07-22 09:42:00,2024-07-22 09:50:00,1,19955.25,20025.75,19931.75,20025.75,140.0,target,2024-07-22
2024-07-23 09:48:00,2024-07-23 09:52:00,1,20017.0,19990.75,19991.0,20095.0,-53.5,stop,2024-07-23
2024-07-26 10:04:00,2024-07-26 10:26:00,-1,19108.0,19174.0,19173.75,18910.75,-133.0,stop,2024-07-26
2024-08-05 09:45:00,2024-08-05 15:55:00,1,17861.75,17962.5,17697.75,18353.75,200.5,session_flatten,2024-08-05
2024-08-13 09:58:00,2024-08-13 10:33:00,1,18902.0,18865.0,18865.25,19012.25,-75.0,stop,2024-08-13
2024-08-15 09:52:00,2024-08-15 10:00:00,1,19420.75,19475.5,19402.5,19475.5,108.5,target,2024-08-15
2024-08-16 10:02:00,2024-08-16 15:55:00,1,19533.5,19606.25,19481.75,19688.75,144.5,session_flatten,2024-08-16
2024-08-19 10:17:00,2024-08-19 10:32:00,-1,19549.0,19626.0,19625.75,19318.75,-155.0,stop,2024-08-19
2024-08-20 09:44:00,2024-08-20 09:55:00,1,19868.0,19914.5,19852.5,19914.5,92.0,target,2024-08-20
2024-08-21 09:44:00,2024-08-21 10:36:00,1,19858.75,19935.25,19833.25,19935.25,152.0,target,2024-08-21
2024-08-30 09:51:00,2024-08-30 10:25:00,1,19587.0,19530.5,19530.75,19755.75,-114.0,stop,2024-08-30
2024-09-02 10:35:00,2024-09-02 12:59:00,1,19644.25,19646.5,19587.5,19814.5,3.5,session_flatten,2024-09-02
2024-09-03 09:39:00,2024-09-03 09:48:00,-1,19393.25,19414.0,19413.75,19331.75,-42.5,stop,2024-09-03
2024-09-13 10:59:00,2024-09-13 15:55:00,1,19512.75,19543.0,19412.75,19812.75,59.5,session_flatten,2024-09-13
2024-09-18 09:37:00,2024-09-18 09:41:00,-1,19682.75,19705.25,19705.0,19616.0,-46.0,stop,2024-09-18
2024-10-03 09:48:00,2024-10-03 10:00:00,1,19998.25,20066.5,19975.5,20066.5,135.5,target,2024-10-03
2024-10-14 10:20:00,2024-10-14 10:51:00,1,20615.5,20591.5,20591.75,20686.75,-49.0,stop,2024-10-14
2024-10-15 09:57:00,2024-10-15 10:10:00,1,20646.5,20607.5,20607.75,20762.75,-79.0,stop,2024-10-15
2024-10-16 10:18:00,2024-10-16 10:22:00,-1,20287.25,20309.0,20308.75,20222.75,-44.5,stop,2024-10-16
2024-10-17 09:56:00,2024-10-17 11:59:00,-1,20447.5,20505.5,20505.25,20274.25,-117.0,stop,2024-10-17
2024-10-18 10:07:00,2024-10-18 12:14:00,1,20506.5,20447.0,20447.25,20684.25,-120.0,stop,2024-10-18
2024-10-22 09:41:00,2024-10-22 09:46:00,1,20430.75,20473.5,20416.5,20473.5,84.5,target,2024-10-22
2024-11-05 09:48:00,2024-11-05 15:55:00,1,20241.0,20324.5,20192.25,20387.25,166.0,session_flatten,2024-11-05
