strategy,instrument,target_ticks,stop_ticks,split,n_trades,win_rate,avg_win,avg_loss,realized_rr,mean_pnl,skew,kurtosis,max_consec_losses,friction_pct_avg_gross_win
vwap_reversion,MES,10,8,train,924,0.4025974025974026,10.22983870967742,-13.5,0.7577658303464756,-3.9464285714285716,0.39895131096696623,-1.843956599265122,16,0.3116696588868941
vwap_reversion,MES,10,8,holdout,618,0.4077669902912621,10.225198412698413,-13.5,0.7574221046443269,-3.8256472491909386,0.37745720535952015,-1.8625148631907298,9,0.3117984975695979
vwap_reversion,MES,15,12,train,921,0.4158523344191097,16.467362924281986,-18.46747211895911,0.8916955616993315,-3.939739413680782,0.34107013103567363,-1.8856402188470582,14,0.20037369207772793
vwap_reversion,MES,15,12,holdout,616,0.4675324675324675,16.47829861111111,-18.5,0.8907188438438438,-2.14650974025974,0.13101382884636958,-1.988736762221628,9,0.20024832381425378
vwap_reversion,MES,20,16,train,920,0.40652173913043477,22.669786096256683,-23.406135531135533,0.9685403242282633,-4.675271739130435,0.3792634376630701,-1.8555709510056368,12,0.14786783394521322
vwap_reversion,MES,20,16,holdout,615,0.46504065040650405,22.75,-23.5,0.9680851063829787,-1.991869918699187,0.14052343554888166,-1.986724684560683,8,0.14736842105263157
vwap_reversion,MES,25,20,train,916,0.4126637554585153,29.0,-28.37685873605948,1.0219594871207036,-4.699508733624454,0.35200918160401057,-1.8773972784662136,11,0.11666666666666667
vwap_reversion,MES,25,20,holdout,615,0.46016260162601624,29.0,-28.5,1.0175438596491229,-2.040650406504065,0.16024891191464546,-1.9807724497656696,10,0.11666666666666667
vwap_reversion,MES,30,24,train,912,0.41885964912280704,35.25,-33.301886792452834,1.058498583569405,-4.588267543859649,0.32493532802200664,-1.8945793732130467,11,0.09655172413793103
vwap_reversion,MES,30,24,holdout,612,0.4493464052287582,35.25,-33.425816023738875,1.0545741044875494,-2.5665849673202614,0.20216423880136755,-1.964121596951596,10,0.09655172413793103
trend_pullback,MES,10,8,train,895,0.4346368715083799,10.25,-13.5,0.7592592592592593,-3.1773743016759775,0.26415851885977304,-1.9345482998803691,11,0.3111111111111111
trend_pullback,MES,10,8,holdout,609,0.3497536945812808,10.25,-13.5,0.7592592592592593,-5.193349753694581,0.631663001918935,-1.6062878487769887,11,0.3111111111111111
trend_pullback,MES,15,12,train,893,0.47032474804031354,16.5,-18.5,0.8918918918918919,-2.038633818589026,0.11911079041827662,-1.9902751555765625,13,0.2
trend_pullback,MES,15,12,holdout,609,0.39901477832512317,16.5,-18.5,0.8918918918918919,-4.5344827586206895,0.4134596920406189,-1.8350884816958117,11,0.2
trend_pullback,MES,20,16,train,892,0.47533632286995514,22.75,-23.5,0.9680851063829787,-1.515695067264574,0.09894140978881476,-1.99468803628636,8,0.14736842105263157
