tag,side,t_signal,t_entry,entry,stop0,t_exit,reason,gross_px,net_px,risk_px,R,gross_R,mfe_R,mae_R,net_usd_1,m_p1,m_p2,m_low,m_D,m_count,m_target
D1_F_short_1h_pivot,-1,2024-07-01 16:00:00+00:00,2024-07-01 15:59:00+00:00,21918.5,21935.5,2024-07-01 16:09:00+00:00,stop,-16.75,-17.75,17.0,-1.0441176470588236,-0.9852941176470589,1.1176470588235294,-1.6764705882352942,-35.5,21962.75,21935.25,21843.5,107.46428571428623,1,21736.035714285714
D1_F_short_1h_pivot,-1,2024-07-03 03:00:00+00:00,2024-07-03 02:59:00+00:00,22182.5,22195.5,2024-07-03 05:59:00+00:00,close_exit,-8.0,-9.0,13.0,-0.6923076923076923,-0.6153846153846154,0.6538461538461539,-0.6923076923076923,-18.0,22202.0,22195.25,22171.25,29.0625,1,22142.1875
D1_F_short_1h_pivot,-1,2024-07-04 04:00:00+00:00,2024-07-04 03:59:00+00:00,22346.25,22360.25,2024-07-04 05:59:00+00:00,close_exit,-3.75,-4.75,14.0,-0.3392857142857143,-0.26785714285714285,0.5,-0.35714285714285715,-9.5,22378.0,22360.0,22332.5,41.0,1,22291.5
D1_F_short_1h_pivot,-1,2024-07-04 10:00:00+00:00,2024-07-04 09:59:00+00:00,22344.0,22352.75,2024-07-04 12:59:00+00:00,close_exit,-4.75,-5.75,8.75,-0.6571428571428571,-0.5428571428571428,0.4,-0.8,-11.5,22360.0,22352.5,22339.25,15.75,2,22323.5
D1_F_short_1h_pivot,-1,2024-07-08 05:00:00+00:00,2024-07-08 04:59:00+00:00,22530.75,22545.5,2024-07-08 05:59:00+00:00,close_exit,4.0,3.0,14.75,0.2033898305084746,0.2711864406779661,0.3389830508474576,-0.5254237288135594,6.0,22582.25,22545.25,22521.75,29.66666666666788,1,22492.083333333332
D1_F_short_1h_pivot,-1,2024-07-09 08:00:00+00:00,2024-07-09 07:59:00+00:00,22674.25,22685.0,2024-07-09 09:29:00+00:00,stop,-10.5,-11.5,10.75,-1.069767441860465,-0.9767441860465116,0.627906976744186,-1.069767441860465,-23.0,22691.25,22684.75,22646.75,41.900000000001455,1,22604.85
D1_F_short_1h_pivot,-1,2024-07-10 07:00:00+00:00,2024-07-10 06:59:00+00:00,22643.25,22660.0,2024-07-10 07:56:00+00:00,stop,-16.5,-17.5,16.75,-1.044776119402985,-0.9850746268656716,0.19402985074626866,-1.0895522388059702,-35.0,22714.25,22659.75,22558.5,143.17307692307804,1,22415.326923076922
D1_F_short_1h_pivot,-1,2024-07-11 11:00:00+00:00,2024-07-11 10:59:00+00:00,22823.5,22834.5,2024-07-11 12:30:00+00:00,stop,-10.75,-11.75,11.0,-1.0681818181818181,-0.9772727272727273,1.3863636363636365,-8.545454545454545,-23.5,22860.0,22834.25,22796.0,53.27083333333212,1,22742.729166666668
D1_F_short_1h_pivot,-1,2024-07-16 23:00:00+00:00,2024-07-16 22:59:00+00:00,22531.0,22557.25,2024-07-17 02:59:00+00:00,close_exit,36.5,35.5,26.25,1.3523809523809525,1.3904761904761904,1.5904761904761904,-0.0761904761904762,71.0,22626.5,22557.0,22406.5,185.25,1,22221.25
D1_F_short_1h_pivot,-1,2024-07-19 16:00:00+00:00,2024-07-19 15:59:00+00:00,21759.75,21919.5,2024-07-22 13:38:00+00:00,stop,-159.5,-160.5,159.75,-1.0046948356807512,-0.9984350547730829,1.021909233176839,-1.0140845070422535,-321.0,21922.0,21919.25,21694.5,227.1071428571413,1,21467.39285714286
D1_F_short_1h_pivot,-1,2024-07-26 15:00:00+00:00,2024-07-26 14:59:00+00:00,21070.5,21180.0,2024-07-26 16:10:00+00:00,stop,-109.25,-110.25,109.5,-1.0068493150684932,-0.997716894977169,0.3401826484018265,-1.0159817351598173,-220.5,21333.0,21179.75,20883.0,424.4583333333321,1,20458.541666666668
D1_F_short_1h_pivot,-1,2024-07-29 20:00:00+00:00,2024-07-29 19:59:00+00:00,21151.25,21291.75,2024-07-30 07:59:00+00:00,close_exit,-26.0,-27.0,140.5,-0.19217081850533807,-0.18505338078291814,0.9430604982206405,-0.30604982206405695,-54.0,21319.75,21291.5,21055.5,254.83333333333212,1,20800.666666666668
D1_F_short_1h_pivot,-1,2024-08-06 14:00:00+00:00,2024-08-06 13:59:00+00:00,20083.75,20196.0,2024-08-06 14:43:00+00:00,stop,-112.0,-113.0,112.25,-1.0066815144766148,-0.9977728285077951,0.34743875278396436,-1.0267260579064588,-226.0,20378.0,20195.75,19960.25,271.9500000000007,1,19688.3
D1_F_short_1h_pivot,-1,2024-08-07 07:00:00+00:00,2024-08-07 06:59:00+00:00,20260.25,20379.75,2024-08-07 09:37:00+00:00,stop,-119.25,-120.25,119.5,-1.006276150627615,-0.997907949790795,0.8138075313807531,-1.0627615062761506,-240.5,20425.5,20379.5,19970.0,440.1666666666679,1,19529.833333333332
