timestamp,open,high,low,close,volume
2026-06-16 00:00:00,7623.25,7623.5,7615.25,7618.5,6277
2026-06-16 01:00:00,7618.75,7625.25,7616.0,7618.25,6149
2026-06-16 02:00:00,7618.0,7624.0,7617.0,7622.5,6654
2026-06-16 03:00:00,7622.25,7627.75,7620.25,7624.5,11255
2026-06-16 04:00:00,7624.75,7630.25,7620.75,7626.5,14916
2026-06-16 05:00:00,7626.25,7628.75,7618.75,7620.25,9694
2026-06-16 06:00:00,7620.5,7631.0,7620.5,7630.75,9164
2026-06-16 07:00:00,7630.5,7634.25,7628.5,7631.25,13243
2026-06-16 08:00:00,7631.25,7634.75,7621.75,7625.25,28720
2026-06-16 09:00:00,7625.25,7636.5,7620.75,7622.75,137228
2026-06-16 10:00:00,7622.75,7634.25,7604.0,7611.25,244967
2026-06-16 11:00:00,7611.0,7619.25,7598.75,7610.0,169275
2026-06-16 12:00:00,7609.75,7622.5,7606.0,7610.5,119119
2026-06-16 13:00:00,7610.5,7611.5,7598.75,7606.0,80867
2026-06-16 14:00:00,7605.75,7607.75,7600.5,7602.0,52732
2026-06-16 15:00:00,7601.75,7603.0,7582.75,7588.0,149622
2026-06-16 16:00:00,7588.0,7588.75,7577.75,7583.5,28892
2026-06-16 18:00:00,7583.5,7597.5,7583.0,7596.25,11783
2026-06-16 19:00:00,7596.5,7597.0,7589.0,7591.75,7987
2026-06-16 20:00:00,7592.0,7600.5,7592.0,7597.0,13966
2026-06-16 21:00:00,7597.0,7605.5,7595.5,7605.5,10406
2026-06-16 22:00:00,7605.25,7605.5,7601.0,7602.5,5666
2026-06-16 23:00:00,7602.75,7606.25,7598.75,7606.0,6678
2026-06-17 00:00:00,7606.0,7606.5,7601.0,7606.0,4463
2026-06-17 01:00:00,7606.25,7608.0,7603.0,7604.0,5593
2026-06-17 02:00:00,7604.25,7609.25,7601.25,7609.0,6730
2026-06-17 03:00:00,7608.75,7612.5,7603.25,7606.0,10083
2026-06-17 04:00:00,7605.75,7608.25,7591.5,7600.0,15978
2026-06-17 05:00:00,7600.0,7602.75,7590.25,7592.25,11707
2026-06-17 06:00:00,7592.25,7598.5,7585.5,7591.25,16393
2026-06-17 07:00:00,7591.25,7597.75,7582.75,7586.5,17491
2026-06-17 08:00:00,7586.75,7596.5,7586.25,7595.5,24012
2026-06-17 09:00:00,7595.0,7600.25,7581.0,7581.25,141196
2026-06-17 10:00:00,7581.25,7604.25,7560.5,7572.25,263211
2026-06-17 11:00:00,7572.5,7591.25,7568.0,7588.75,127155
2026-06-17 12:00:00,7589.0,7593.25,7581.5,7582.75,47237
2026-06-17 13:00:00,7582.5,7590.0,7568.5,7590.0,69906
2026-06-17 14:00:00,7589.75,7590.0,7513.75,7540.5,337023
2026-06-17 15:00:00,7540.5,7552.0,7472.25,7492.0,281509
2026-06-17 16:00:00,7492.25,7514.75,7489.75,7511.0,34722
2026-06-17 18:00:00,7515.0,7527.75,7504.25,7525.75,21458
2026-06-17 19:00:00,7525.5,7541.5,7524.5,7541.5,15296
2026-06-17 20:00:00,7541.5,7560.5,7539.75,7550.75,34346
2026-06-17 21:00:00,7551.0,7561.5,7550.0,7552.75,19169
2026-06-17 22:00:00,7553.0,7559.75,7552.25,7556.75,8143
2026-06-17 23:00:00,7556.75,7558.75,7550.5,7555.25,8310
2026-06-18 00:00:00,7555.75,7556.75,7539.25,7545.0,12974
2026-06-18 01:00:00,7544.75,7550.75,7542.75,7546.25,8982
2026-06-18 02:00:00,7546.5,7557.25,7540.75,7556.75,12980
2026-06-18 03:00:00,7556.75,7559.5,7550.25,7559.5,11970
2026-06-18 04:00:00,7559.5,7568.0,7547.0,7547.75,17829
2026-06-18 05:00:00,7548.0,7564.0,7545.75,7563.25,12672
2026-06-18 06:00:00,7563.25,7564.5,7551.25,7553.0,13061
2026-06-18 07:00:00,7553.5,7554.75,7531.25,7543.25,27519
2026-06-18 08:00:00,7543.25,7565.0,7540.75,7560.5,29002
2026-06-18 09:00:00,7560.5,7581.75,7535.5,7544.0,218345
2026-06-18 10:00:00,7544.25,7570.75,7539.0,7566.25,200340
2026-06-18 11:00:00,7566.5,7569.0,7541.0,7560.5,140881
2026-06-18 12:00:00,7560.5,7570.5,7555.0,7564.0,68611
2026-06-18 13:00:00,7564.25,7578.75,7561.5,7567.0,57616
2026-06-18 14:00:00,7567.25,7568.0,7559.0,7561.25,58232
2026-06-18 15:00:00,7561.5,7580.75,7549.25,7564.5,123053
2026-06-18 16:00:00,7564.5,7583.0,7562.25,7574.75,27836
2026-06-18 18:00:00,7575.5,7580.0,7559.75,7561.0,12354
2026-06-18 19:00:00,7561.25,7568.25,7560.25,7565.75,8001
2026-06-18 20:00:00,7565.5,7565.75,7556.0,7558.25,13267
2026-06-18 21:00:00,7558.25,7560.75,7547.25,7547.5,11109
2026-06-18 22:00:00,7547.5,7549.25,7541.75,7546.25,8607
2026-06-18 23:00:00,7546.25,7548.5,7536.0,7538.5,9402
2026-06-19 00:00:00,7538.75,7539.5,7521.5,7525.5,12779
2026-06-19 01:00:00,7525.5,7531.75,7520.5,7531.5,11631
2026-06-19 02:00:00,7531.25,7542.75,7530.0,7541.5,9305
2026-06-19 03:00:00,7541.25,7555.0,7541.0,7554.25,11118
2026-06-19 04:00:00,7554.25,7560.5,7550.5,7558.5,8213
2026-06-19 05:00:00,7558.75,7562.25,7553.5,7555.25,8498
2026-06-19 06:00:00,7555.25,7555.75,7537.75,7543.5,11793
2026-06-19 07:00:00,7543.5,7546.25,7537.0,7544.25,10212
2026-06-19 08:00:00,7544.25,7562.25,7533.5,7558.75,27756
2026-06-19 09:00:00,7559.0,7563.75,7554.5,7559.5,39777
2026-06-19 10:00:00,7559.25,7566.0,7554.0,7565.25,31044
2026-06-19 11:00:00,7565.0,7568.5,7558.25,7563.75,26880
2026-06-19 12:00:00,7563.75,7567.75,7554.75,7557.0,15166
2026-06-21 18:00:00,7543.75,7549.75,7526.0,7538.0,32059
2026-06-21 19:00:00,7537.75,7538.25,7513.0,7516.0,31134
2026-06-21 20:00:00,7515.75,7550.0,7514.5,7549.0,37645
2026-06-21 21:00:00,7549.0,7558.0,7549.0,7549.75,19799
2026-06-21 22:00:00,7550.0,7550.75,7537.25,7538.5,14215
2026-06-21 23:00:00,7538.5,7542.25,7533.5,7534.5,12207
2026-06-22 00:00:00,7534.5,7536.75,7528.5,7534.75,12123
2026-06-22 01:00:00,7534.75,7547.75,7533.75,7546.25,11362
2026-06-22 02:00:00,7546.5,7563.0,7546.0,7561.75,12811
2026-06-22 03:00:00,7561.75,7567.5,7560.5,7562.75,9849
2026-06-22 04:00:00,7562.75,7563.75,7552.5,7559.25,11079
2026-06-22 05:00:00,7559.5,7564.5,7554.5,7555.0,8764
2026-06-22 06:00:00,7554.75,7564.75,7554.75,7558.75,8434
2026-06-22 07:00:00,7558.5,7578.0,7558.5,7563.5,24926
2026-06-22 08:00:00,7563.75,7576.5,7563.75,7568.0,17936
2026-06-22 09:00:00,7568.0,7596.75,7568.0,7596.5,159718
2026-06-22 10:00:00,7596.0,7599.25,7527.25,7543.0,264266
2026-06-22 11:00:00,7543.0,7559.25,7534.5,7542.5,176416
2026-06-22 12:00:00,7542.75,7550.5,7532.0,7546.0,97677
2026-06-22 13:00:00,7546.25,7549.5,7535.25,7542.75,62294
2026-06-22 14:00:00,7543.0,7553.75,7531.5,7533.0,69086
2026-06-22 15:00:00,7533.0,7545.75,7528.0,7540.25,97389
2026-06-22 16:00:00,7540.25,7547.0,7539.0,7540.75,20477
2026-06-22 18:00:00,7543.25,7547.5,7529.25,7532.0,13841
2026-06-22 19:00:00,7532.25,7533.25,7525.5,7532.0,10810
2026-06-22 20:00:00,7531.75,7545.25,7522.0,7540.0,26090
2026-06-22 21:00:00,7540.25,7542.5,7512.0,7522.5,28862
2026-06-22 22:00:00,7522.5,7525.0,7510.5,7512.5,17734
2026-06-22 23:00:00,7512.75,7513.75,7496.5,7509.0,22050
2026-06-23 00:00:00,7509.25,7512.0,7481.75,7483.25,18988
2026-06-23 01:00:00,7483.5,7488.25,7465.5,7468.5,28910
2026-06-23 02:00:00,7468.75,7472.25,7444.5,7447.0,32290
2026-06-23 03:00:00,7447.0,7455.5,7428.5,7434.0,32693
2026-06-23 04:00:00,7433.75,7438.5,7421.5,7430.5,41608
2026-06-23 05:00:00,7430.5,7446.0,7429.5,7444.25,23985
2026-06-23 06:00:00,7444.25,7449.5,7426.25,7436.75,27605
2026-06-23 07:00:00,7436.75,7453.75,7432.5,7450.75,32194
2026-06-23 08:00:00,7450.75,7454.5,7427.5,7432.5,40747
2026-06-23 09:00:00,7432.5,7466.25,7415.0,7465.25,225675
2026-06-23 10:00:00,7465.5,7491.25,7459.75,7464.75,264560
2026-06-23 11:00:00,7464.75,7468.75,7435.75,7453.75,179443
2026-06-23 12:00:00,7454.0,7475.25,7452.75,7469.5,99188
2026-06-23 13:00:00,7469.75,7476.5,7452.75,7453.0,88979
2026-06-23 14:00:00,7453.25,7461.25,7428.75,7436.25,107489
2026-06-23 15:00:00,7436.0,7453.0,7432.75,7435.0,177557
2026-06-23 16:00:00,7435.0,7447.0,7431.75,7445.5,25964
2026-06-23 18:00:00,7449.0,7452.25,7429.0,7434.75,23659
2026-06-23 19:00:00,7435.0,7451.0,7420.25,7447.0,32503
2026-06-23 20:00:00,7446.75,7460.0,7443.25,7453.5,36455
2026-06-23 21:00:00,7453.75,7454.5,7442.5,7451.25,23482
2026-06-23 22:00:00,7451.25,7453.25,7429.75,7430.0,19005
2026-06-23 23:00:00,7430.0,7452.0,7427.0,7447.75,23325
2026-06-24 00:00:00,7448.0,7451.5,7434.75,7449.5,14551
2026-06-24 01:00:00,7449.5,7459.5,7447.25,7450.5,12936
2026-06-24 02:00:00,7450.25,7454.0,7445.0,7449.0,10858
2026-06-24 03:00:00,7449.0,7452.75,7439.5,7443.0,16026
2026-06-24 04:00:00,7443.0,7453.25,7442.25,7447.5,12854
2026-06-24 05:00:00,7447.5,7452.25,7439.25,7447.75,12252
2026-06-24 06:00:00,7447.75,7458.25,7442.25,7448.75,15442
2026-06-24 07:00:00,7449.0,7465.0,7443.75,7463.75,23392
2026-06-24 08:00:00,7463.75,7467.0,7448.0,7450.5,30114
2026-06-24 09:00:00,7450.5,7472.5,7437.0,7454.5,226699
2026-06-24 10:00:00,7454.75,7494.25,7436.5,7493.5,252476
2026-06-24 11:00:00,7493.5,7496.5,7474.5,7480.25,175581
2026-06-24 12:00:00,7480.25,7485.5,7450.5,7452.75,137339
2026-06-24 13:00:00,7453.25,7461.0,7407.75,7414.0,207776
2026-06-24 14:00:00,7414.25,7443.25,7408.25,7415.5,150601
2026-06-24 15:00:00,7415.5,7431.5,7404.0,7428.25,149522
2026-06-24 16:00:00,7428.0,7482.25,7421.25,7477.25,54927
2026-06-24 18:00:00,7477.25,7486.75,7465.75,7466.5,19057
2026-06-24 19:00:00,7466.5,7478.75,7464.0,7471.75,14821
2026-06-24 20:00:00,7471.75,7473.25,7453.0,7455.0,23863
2026-06-24 21:00:00,7455.0,7466.5,7452.0,7460.0,19122
2026-06-24 22:00:00,7460.0,7464.75,7452.75,7463.5,13327
2026-06-24 23:00:00,7463.75,7469.75,7460.25,7469.25,10315
2026-06-25 00:00:00,7469.5,7469.75,7459.75,7464.25,8070
2026-06-25 01:00:00,7464.25,7476.5,7464.0,7472.0,9122
2026-06-25 02:00:00,7472.0,7482.0,7471.0,7477.75,11642
2026-06-25 03:00:00,7478.0,7488.75,7478.0,7488.0,13783
2026-06-25 04:00:00,7488.25,7491.25,7475.75,7476.75,16480
2026-06-25 05:00:00,7477.0,7484.5,7476.0,7480.5,12223
2026-06-25 06:00:00,7480.5,7487.5,7480.0,7483.5,10331
2026-06-25 07:00:00,7483.75,7487.25,7472.25,7475.75,20309
2026-06-25 08:00:00,7475.75,7496.25,7472.25,7486.75,43055
2026-06-25 09:00:00,7487.0,7490.5,7390.0,7393.0,307601
2026-06-25 10:00:00,7393.25,7475.5,7392.25,7449.25,411550
2026-06-25 11:00:00,7449.25,7462.25,7414.25,7437.5,230054
2026-06-25 12:00:00,7438.0,7459.0,7409.75,7420.5,156330
2026-06-25 13:00:00,7420.5,7438.0,7410.5,7429.5,115064
2026-06-25 14:00:00,7429.5,7456.75,7408.25,7434.25,152604
2026-06-25 15:00:00,7434.5,7434.75,7408.75,7428.75,137726
2026-06-25 16:00:00,7428.5,7454.0,7427.75,7434.0,38002
2026-06-25 18:00:00,7431.0,7435.75,7416.0,7425.25,20457
2026-06-25 19:00:00,7425.25,7454.0,7417.0,7424.0,36602
2026-06-25 20:00:00,7423.75,7435.5,7418.5,7421.5,29543
2026-06-25 21:00:00,7421.75,7428.0,7395.0,7399.75,32159
2026-06-25 22:00:00,7399.75,7401.5,7366.75,7371.25,41000
2026-06-25 23:00:00,7371.0,7383.5,7357.25,7383.0,33182
2026-06-26 00:00:00,7383.25,7385.5,7365.5,7367.75,22700
2026-06-26 01:00:00,7367.75,7383.0,7364.5,7372.0,19254
2026-06-26 02:00:00,7372.25,7409.5,7369.0,7404.0,22221
2026-06-26 03:00:00,7403.75,7413.75,7394.75,7411.25,19327
2026-06-26 04:00:00,7411.0,7415.75,7381.25,7388.75,24476
2026-06-26 05:00:00,7388.75,7396.25,7380.0,7385.5,22055
2026-06-26 06:00:00,7385.5,7389.25,7376.75,7386.5,15856
2026-06-26 07:00:00,7386.5,7394.5,7377.5,7384.75,20049
2026-06-26 08:00:00,7384.75,7404.0,7380.0,7383.75,31728
2026-06-26 09:00:00,7384.25,7405.5,7360.0,7403.5,224828
2026-06-26 10:00:00,7401.5,7436.25,7397.75,7418.0,247767
2026-06-26 11:00:00,7418.0,7459.25,7409.5,7447.75,193234
2026-06-26 12:00:00,7447.75,7449.25,7420.75,7438.25,124090
2026-06-26 13:00:00,7438.25,7452.5,7427.5,7429.75,91832
2026-06-26 14:00:00,7430.25,7439.5,7405.0,7409.0,78838
2026-06-26 15:00:00,7409.0,7432.25,7369.75,7379.25,122005
2026-06-26 16:00:00,7379.5,7420.5,7370.5,7397.75,54186
2026-06-28 18:00:00,7398.0,7438.75,7398.0,7434.25,33550
2026-06-28 19:00:00,7434.25,7455.75,7432.75,7447.25,25618
2026-06-28 20:00:00,7447.5,7447.5,7422.25,7438.5,52034
2026-06-28 21:00:00,7438.75,7442.75,7426.75,7438.5,28341
2026-06-28 22:00:00,7438.75,7443.75,7420.5,7440.5,22674
2026-06-28 23:00:00,7441.0,7452.75,7434.25,7450.25,20904
2026-06-29 00:00:00,7450.5,7450.5,7439.5,7442.25,13421
2026-06-29 01:00:00,7442.0,7458.5,7439.0,7457.25,15251
2026-06-29 02:00:00,7457.0,7457.75,7444.25,7446.25,13591
2026-06-29 03:00:00,7446.5,7453.5,7436.75,7451.0,18262
2026-06-29 04:00:00,7451.25,7463.75,7450.25,7451.5,18358
2026-06-29 05:00:00,7451.25,7459.25,7447.25,7454.5,14656
2026-06-29 06:00:00,7455.0,7466.75,7452.75,7466.0,17175
2026-06-29 07:00:00,7466.0,7473.75,7456.75,7463.5,22674
2026-06-29 08:00:00,7463.5,7468.5,7455.0,7464.25,20050
2026-06-29 09:00:00,7464.0,7489.75,7444.5,7458.75,210913
2026-06-29 10:00:00,7458.5,7472.5,7409.0,7468.0,344051
2026-06-29 11:00:00,7468.0,7476.25,7453.0,7475.0,123819
2026-06-29 12:00:00,7475.25,7481.75,7470.0,7477.5,68574
2026-06-29 13:00:00,7477.5,7498.75,7477.25,7494.25,74100
2026-06-29 14:00:00,7494.25,7502.25,7491.25,7497.0,51953
2026-06-29 15:00:00,7496.75,7505.0,7491.5,7497.0,100384
2026-06-29 16:00:00,7497.0,7499.75,7491.0,7493.0,25346
2026-06-29 18:00:00,7494.75,7497.25,7490.5,7494.25,10735
2026-06-29 19:00:00,7494.5,7499.0,7491.5,7495.5,8481
2026-06-29 20:00:00,7495.5,7501.25,7481.75,7492.75,22860
2026-06-29 21:00:00,7492.75,7501.25,7484.0,7498.25,17247
2026-06-29 22:00:00,7498.5,7498.75,7488.25,7491.25,9084
2026-06-29 23:00:00,7491.25,7506.75,7490.0,7501.75,9144
2026-06-30 00:00:00,7501.5,7513.5,7501.25,7511.0,9677
2026-06-30 01:00:00,7511.25,7514.5,7503.5,7510.25,11316
2026-06-30 02:00:00,7510.25,7511.25,7501.5,7508.75,12493
2026-06-30 03:00:00,7508.75,7512.75,7500.5,7502.25,13753
2026-06-30 04:00:00,7502.0,7510.25,7494.0,7502.0,18643
2026-06-30 05:00:00,7502.0,7508.25,7498.25,7506.0,11054
2026-06-30 06:00:00,7506.25,7515.0,7503.75,7513.0,11982
2026-06-30 07:00:00,7513.0,7517.5,7509.0,7510.5,17908
2026-06-30 08:00:00,7510.75,7511.25,7491.5,7496.75,33319
2026-06-30 09:00:00,7497.0,7527.0,7492.25,7526.75,137699
2026-06-30 10:00:00,7526.75,7541.75,7515.5,7520.5,167715
2026-06-30 11:00:00,7520.5,7547.75,7519.75,7545.75,96090
2026-06-30 12:00:00,7545.75,7558.25,7545.25,7555.5,55255
2026-06-30 13:00:00,7555.75,7559.5,7548.5,7552.0,47095
