timestamp,open,high,low,close,volume
2026-06-16 00:00:00,7623.25,7623.5,7619.0,7620.5,2769
2026-06-16 00:30:00,7620.5,7622.0,7615.25,7618.5,3508
2026-06-16 01:00:00,7618.75,7625.25,7618.5,7621.75,3010
2026-06-16 01:30:00,7621.75,7622.75,7616.0,7618.25,3139
2026-06-16 02:00:00,7618.0,7624.0,7617.0,7623.25,3634
2026-06-16 02:30:00,7623.25,7624.0,7619.75,7622.5,3020
2026-06-16 03:00:00,7622.25,7627.75,7621.75,7626.5,5562
2026-06-16 03:30:00,7626.5,7627.75,7620.25,7624.5,5693
2026-06-16 04:00:00,7624.75,7630.25,7622.5,7626.25,7969
2026-06-16 04:30:00,7626.5,7628.75,7620.75,7626.5,6947
2026-06-16 05:00:00,7626.25,7628.75,7622.0,7622.75,5244
2026-06-16 05:30:00,7623.0,7625.25,7618.75,7620.25,4450
2026-06-16 06:00:00,7620.5,7627.25,7620.5,7626.25,4348
2026-06-16 06:30:00,7626.25,7631.0,7624.5,7630.75,4816
2026-06-16 07:00:00,7630.5,7634.25,7628.5,7631.75,7690
2026-06-16 07:30:00,7632.0,7634.25,7628.75,7631.25,5553
2026-06-16 08:00:00,7631.25,7634.75,7621.75,7625.5,14030
2026-06-16 08:30:00,7625.5,7628.75,7622.25,7625.25,14690
2026-06-16 09:00:00,7625.25,7630.75,7620.75,7628.0,21702
2026-06-16 09:30:00,7628.0,7636.5,7621.75,7622.75,115526
2026-06-16 10:00:00,7622.75,7634.25,7612.0,7612.0,125025
2026-06-16 10:30:00,7612.25,7621.5,7604.0,7611.25,119942
2026-06-16 11:00:00,7611.0,7619.25,7604.5,7608.0,75496
2026-06-16 11:30:00,7608.25,7616.75,7598.75,7610.0,93779
2026-06-16 12:00:00,7609.75,7622.5,7609.5,7616.25,58282
2026-06-16 12:30:00,7616.25,7617.25,7606.0,7610.5,60837
2026-06-16 13:00:00,7610.5,7611.5,7602.0,7605.75,40201
2026-06-16 13:30:00,7605.75,7611.5,7598.75,7606.0,40666
2026-06-16 14:00:00,7605.75,7607.75,7601.5,7605.25,27890
2026-06-16 14:30:00,7605.25,7606.75,7600.5,7602.0,24842
2026-06-16 15:00:00,7601.75,7603.0,7584.75,7596.25,68029
