timestamp,open,high,low,close,volume,open interest
2026-06-16,7626.5,7636.5,7577.75,7587.25,1167048,106360
2026-06-17,7583.5,7612.5,7472.25,7492.75,1480970,125894
2026-06-18,7515.0,7583.0,7504.25,7570.75,1152292,125094
2026-06-22,7575.5,7599.25,7513.0,7541.25,1498627,138044
2026-06-23,7543.25,7547.5,7415.0,7437.5,1567321,175247
2026-06-24,7449.0,7496.5,7404.0,7428.25,1661782,185617
2026-06-25,7477.25,7496.25,7390.0,7423.25,1794472,199598
2026-06-26,7431.0,7459.25,7357.25,7401.75,1527451,214380
2026-06-29,7398.0,7505.0,7398.0,7500.25,1335732,190905
2026-06-30,7494.75,7567.75,7481.75,7548.25,935547,189188
2026-07-01,7543.5,7579.0,7506.0,7543.5,994843,0
