hyperliquid,BTC,1790109119034,1790109119034,1790109152278771800,1
hyperliquid,BTC,1790109119034,1790109119034,1790109152278771800,1
hyperliquid,BTC,1790109119383,1790109119383,1790109152278771800,1
hyperliquid,BTC,1790109120549,1790109120549,1790109152278771800,1
hyperliquid,BTC,1790109120961,1790109120961,1790109152278771800,1
hyperliquid,BTC,1790109121022,1790109121022,1790109152278771800,1
hyperliquid,BTC,1790109121022,1790109121022,1790109152278771800,1
hyperliquid,BTC,1790109121524,1790109121524,1790109152278771800,1
hyperliquid,BTC,1790109121524,1790109121524,1790109152278771800,1
hyperliquid,BTC,1790109121721,1790109121721,1790109152278771800,1
hyperliquid,BTC,1790109122388,1790109122388,1790109152278771800,1
hyperliquid,BTC,1790109123194,1790109123194,1790109152278771800,1
hyperliquid,BTC,1790109123456,1790109123456,1790109152278771800,1
hyperliquid,BTC,1790109123456,1790109123456,1790109152278771800,1
hyperliquid,BTC,1790109123758,1790109123758,1790109152278771800,1
hyperliquid,BTC,1790109125272,1790109125272,1790109152278771800,1
hyperliquid,BTC,1790109125540,1790109125540,1790109152278771800,1
hyperliquid,BTC,1790109125743,1790109125743,1790109152278771800,1
hyperliquid,BTC,1790109126015,1790109126015,1790109152278771800,1
hyperliquid,BTC,1790109127032,1790109127032,1790109152278771800,1
hyperliquid,BTC,1790109127032,1790109127032,1790109152278771800,1
hyperliquid,BTC,1790109127167,1790109127167,1790109152278771800,1
hyperliquid,BTC,1790109128358,1790109128358,1790109152278771800,1
hyperliquid,BTC,1790109129771,1790109129771,1790109152278771800,1
hyperliquid,BTC,1790109129771,1790109129771,1790109152278771800,1
hyperliquid,BTC,1790109131032,1790109131032,1790109152278771800,1
hyperliquid,BTC,1790109132039,1790109132039,1790109152278771800,1
hyperliquid,BTC,1790109132114,1790109132114,1790109152278771800,1
hyperliquid,BTC,1790109133060,1790109133060,1790109152278771800,1
hyperliquid,BTC,1790109136024,1790109136024,1790109152278771800,1
hyperliquid,ETH,1790109120052,1790109120052,1790109152422356100,1
hyperliquid,ETH,1790109120052,1790109120052,1790109152422356100,1
hyperliquid,ETH,1790109120811,1790109120811,1790109152422356100,1
hyperliquid,ETH,1790109120811,1790109120811,1790109152422356100,1
hyperliquid,ETH,1790109120811,1790109120811,1790109152422356100,1
hyperliquid,ETH,1790109120811,1790109120811,1790109152422356100,1
hyperliquid,ETH,1790109120811,1790109120811,1790109152422356100,1
hyperliquid,ETH,1790109120811,1790109120811,1790109152422356100,1
hyperliquid,ETH,1790109120811,1790109120811,1790109152422356100,1
hyperliquid,ETH,1790109120811,1790109120811,1790109152422356100,1
hyperliquid,ETH,1790109121381,1790109121381,1790109152422356100,1
hyperliquid,ETH,1790109121653,1790109121653,1790109152422356100,1
hyperliquid,ETH,1790109122037,1790109122037,1790109152422356100,1
hyperliquid,ETH,1790109122187,1790109122187,1790109152422356100,1
hyperliquid,ETH,1790109123126,1790109123126,1790109152422356100,1
hyperliquid,ETH,1790109123302,1790109123302,1790109152422356100,1
hyperliquid,ETH,1790109123808,1790109123808,1790109152422356100,1
hyperliquid,ETH,1790109124610,1790109124610,1790109152422356100,1
hyperliquid,ETH,1790109125073,1790109125073,1790109152422356100,1
hyperliquid,ETH,1790109125408,1790109125408,1790109152422356100,1
hyperliquid,ETH,1790109127032,1790109127032,1790109152422356100,1
hyperliquid,ETH,1790109127955,1790109127955,1790109152422356100,1
hyperliquid,ETH,1790109127955,1790109127955,1790109152422356100,1
hyperliquid,ETH,1790109129298,1790109129298,1790109152422356100,1
hyperliquid,ETH,1790109129298,1790109129298,1790109152422356100,1
hyperliquid,ETH,1790109130034,1790109130034,1790109152422356100,1
hyperliquid,ETH,1790109130774,1790109130774,1790109152422356100,1
hyperliquid,ETH,1790109130975,1790109130975,1790109152422356100,1
hyperliquid,ETH,1790109132314,1790109132314,1790109152422356100,1
hyperliquid,ETH,1790109133060,1790109133060,1790109152422356100,1
hyperliquid,SOL,1790109073972,1790109073972,1790109152422507400,1
