tag,side,t_signal,t_entry,entry,stop0,t_exit,reason,gross_px,net_px,risk_px,R,gross_R,mfe_R,mae_R,net_usd_1,m_pair,m_fvg_i,m_doji_i,m_fvg_top,m_fvg_bot,m_ce,m_doji_low,m_doji_high,m_risk_override
E4_short_mirror_20R,-1,2022-02-23 11:00:00+00:00,2022-02-23 10:59:00+00:00,1.27064,1.2714699999999999,2022-02-23 11:44:00+00:00,stop,-0.0008099999999999774,-0.0009458999999997954,0.0008099999999999774,-1.1677777777775578,-1.0,0.37037037037033993,-1.0493827160494336,-69.04379562042301,USDCAD,1799,1800,1.27144,1.27111,1.271275,1.27063,1.27137,0.0008099999999999774
E4_short_mirror_20R,-1,2022-04-04 10:00:00+00:00,2022-04-04 09:59:00+00:00,1.2495200000000002,1.24966,2022-04-04 10:00:00+00:00,stop,-0.00011999999999989797,-0.0002558999999997159,0.00011999999999989797,-2.132499999999446,-1.0,0.0,-2.25,-18.678832116767584,USDCAD,3139,3140,1.24958,1.24928,1.2494299999999998,1.24853,1.24956,0.00011999999999989797
E4_short_mirror_20R,-1,2022-06-27 10:00:00+00:00,2022-06-27 09:59:00+00:00,1.28702,1.28752,2022-06-27 10:03:00+00:00,stop,-0.00048000000000003595,-0.0006158999999998539,0.00048000000000003595,-1.2831249999995995,-1.0,0.0,-1.041666666666474,-44.95620437955138,USDCAD,6019,6020,1.28753,1.28717,1.28735,1.28648,1.28742,0.00048000000000003595
E4_short_mirror_20R,-1,2023-06-22 10:30:00+00:00,2023-06-22 10:29:00+00:00,1.31484,1.31543,2023-06-22 11:53:00+00:00,stop,-0.0005700000000001815,-0.0007058999999999994,0.0005700000000001815,-1.2384210526311836,-1.0,1.2807017543857666,-1.0877192982449921,-51.525547445255434,USDCAD,17144,17145,1.31534,1.31508,1.31521,1.31434,1.31533,0.0005700000000001815
