tag,side,t_signal,t_entry,entry,stop0,t_exit,reason,gross_px,net_px,risk_px,R,gross_R,mfe_R,mae_R,net_usd_1,m_pair,m_fvg_i,m_doji_i,m_fvg_top,m_fvg_bot,m_ce,m_doji_low,m_doji_high,m_risk_override
E4_short_mirror_20R,-1,2022-12-02 10:30:00+00:00,2022-12-02 10:29:00+00:00,134.076,134.253,2022-12-02 13:30:00+00:00,stop,-0.17499999999998295,-0.18950000000000206,0.17499999999998295,-1.0828571428572602,-1.0,1.1542857142858163,-7.342857142857839,-126.33333333333469,USDJPY,11487,11488,134.403,134.026,134.2145,133.731,134.243,0.17499999999998295
E4_short_mirror_20R,-1,2024-07-04 10:30:00+00:00,2024-07-04 10:29:00+00:00,161.25199999999998,161.334,2024-07-05 00:23:00+00:00,stop,-0.0800000000000125,-0.0945000000000316,0.0800000000000125,-1.1812500000002104,-1.0,3.774999999999316,-1.0624999999999334,-63.00000000002106,USDJPY,29629,29630,161.34,161.293,161.31650000000002,161.239,161.324,0.0800000000000125
E4_short_mirror_20R,-1,2024-09-27 09:30:00+00:00,2024-09-27 09:29:00+00:00,143.433,143.477,2024-09-27 09:33:00+00:00,stop,-0.04200000000000159,-0.05650000000002069,0.04200000000000159,-1.345238095238537,-1.0,3.0952380952378697,-1.6666666666664411,-37.66666666668046,USDJPY,32547,32548,143.502,143.382,143.442,143.123,143.467,0.04200000000000159
