tag,side,t_signal,t_entry,entry,stop0,t_exit,reason,gross_px,net_px,risk_px,R,gross_R,mfe_R,mae_R,net_usd_1,m_pair,m_fvg_i,m_doji_i,m_fvg_top,m_fvg_bot,m_ce,m_doji_low,m_doji_high,m_risk_override
E3_long_fvg0230_20R,1,2023-03-20 09:00:00+00:00,2023-03-20 08:59:00+00:00,1996.515,1966.795,2023-03-20 09:29:00+00:00,close_exit,-3.990000000000009,-4.359999999999964,0.8500000000001364,-5.129411764705017,-4.694117647058081,3.282352941175901,-7.023529411763611,-435.99999999999636,XAUUSD,14044,14045,2002.068,1991.305,1996.6865,1995.415,2004.955,0.8500000000001364
E3_long_fvg0230_20R,1,2023-07-18 10:30:00+00:00,2023-07-18 10:29:00+00:00,1962.085,1955.1960000000001,2023-07-21 15:59:00+00:00,close_exit,-2.130000000000109,-2.5000000000000635,1.4400000000000546,-1.7361111111110894,-1.4791666666666865,17.569444444443747,-2.8749999999999605,-250.00000000000634,XAUUSD,16844,16847,1961.228,1960.035,1960.6315,1960.395,1962.128,1.4400000000000546
E3_long_fvg0230_20R,1,2023-12-14 10:30:00+00:00,2023-12-14 10:29:00+00:00,2034.155,2025.9649999999997,2023-12-14 10:59:00+00:00,close_exit,0.03999999999996362,-0.3299999999999909,0.7599999999999909,-0.4342105263157827,0.052631578947321185,1.6315789473684525,-0.8552631578945675,-32.99999999999909,XAUUSD,21636,21638,2035.385,2034.105,2034.745,2034.665,2037.565,0.7599999999999909
E3_long_fvg0230_20R,1,2024-08-12 10:30:00+00:00,2024-08-12 10:29:00+00:00,2442.275,2426.948,2024-08-16 13:59:00+00:00,target,50.14000000000124,49.82000000000124,2.507000000000062,19.872357399282013,20.0,19.940167530912863,-4.0925408855205285,4982.000000000124,XAUUSD,29376,29377,2440.078,2439.155,2439.6165,2439.518,2443.708,2.507000000000062
