tag,side,t_signal,t_entry,entry,stop0,t_exit,reason,gross_px,net_px,risk_px,R,gross_R,mfe_R,mae_R,net_usd_1,m_pair,m_fvg_i,m_doji_i,m_fvg_top,m_fvg_bot,m_ce,m_doji_low,m_doji_high,m_risk_override
E4_short_mirror_20R,-1,2022-07-22 10:30:00+00:00,2022-07-22 10:29:00+00:00,1.0155100000000001,1.01727,2022-07-22 12:49:00+00:00,stop,-0.0017399999999998528,-0.0018499999999996707,0.0017399999999998528,-1.0632183908044983,-1.0,0.6724137931035715,-1.2241379310344387,-184.99999999996706,EURUSD,6932,6933,1.01783,1.01588,1.016855,1.01494,1.01717,0.0017399999999998528
E4_short_mirror_20R,-1,2023-05-09 10:00:00+00:00,2023-05-09 09:59:00+00:00,1.09785,1.09872,2023-05-10 13:32:00+00:00,stop,-0.0008500000000000174,-0.0009599999999998353,0.0008500000000000174,-1.1294117647056654,-1.0,4.329411764705944,-1.282352941176486,-95.99999999998353,EURUSD,16063,16064,1.09872,1.09835,1.098535,1.0975,1.09862,0.0008500000000000174
