tag,side,t_signal,t_entry,entry,stop0,t_exit,reason,gross_px,net_px,risk_px,R,gross_R,mfe_R,mae_R,net_usd_1,m_pair,m_fvg_i,m_doji_i,m_fvg_top,m_fvg_bot,m_ce,m_doji_low,m_doji_high,m_risk_override
E4_short_mirror_20R,-1,2023-04-21 10:00:00+00:00,2023-04-21 09:59:00+00:00,1.23994,1.24129,2023-04-21 14:00:00+00:00,stop,-0.0013300000000000534,-0.0015099999999998858,0.0013300000000000534,-1.1353383458645303,-1.0,1.6616541353383132,-1.127819548872011,-150.99999999998857,GBPUSD,15628,15630,1.24166,1.24065,1.241155,1.23955,1.24119,0.0013300000000000534
E4_short_mirror_20R,-1,2024-01-30 11:00:00+00:00,2024-01-30 10:59:00+00:00,1.26791,1.26846,2024-01-30 14:10:00+00:00,stop,-0.0005299999999999194,-0.0006399999999997374,0.0005299999999999194,-1.2075471698110087,-1.0,3.094339622642142,-1.1132075471697322,-63.99999999997374,GBPUSD,24242,24243,1.26849,1.2682,1.268345,1.26722,1.26836,0.0005299999999999194
E4_short_mirror_20R,-1,2024-07-02 10:00:00+00:00,2024-07-02 09:59:00+00:00,1.2628400000000002,1.26304,2024-07-02 10:00:00+00:00,stop,-0.00017999999999984695,-0.0002899999999996649,0.00017999999999984695,-1.611111111110619,-1.0,0.0,-1.4444444444440332,-28.999999999966487,GBPUSD,29518,29519,1.26309,1.26262,1.262855,1.26215,1.26294,0.00017999999999984695
