tag,side,t_signal,t_entry,entry,stop0,t_exit,reason,gross_px,net_px,risk_px,R,gross_R,mfe_R,mae_R,net_usd_1,m_pair,m_fvg_i,m_doji_i,m_fvg_top,m_fvg_bot,m_ce,m_doji_low,m_doji_high,m_risk_override
E3_long_fvg0230_20R,1,2022-02-16 10:30:00+00:00,2022-02-16 10:29:00+00:00,1.1375899999999999,1.137,2022-02-16 12:48:00+00:00,stop,-0.0005399999999999849,-0.0006799999999997774,0.0005399999999999849,-1.259259259258882,-1.0,2.296296296296601,-1.0925925925923794,-67.99999999997773,EURUSD,1556,1559,1.1373,1.13706,1.1371799999999999,1.1371,1.13852,0.0005399999999999849
E3_long_fvg0230_20R,1,2022-08-01 09:30:00+00:00,2022-08-01 09:29:00+00:00,1.0239999999999998,1.02237,2022-08-02 08:36:00+00:00,stop,-0.0015799999999999148,-0.0017199999999997072,0.0015799999999999148,-1.0886075949365823,-1.0,3.4113924050636193,-1.2278481012657818,-171.99999999997073,EURUSD,7218,7219,1.02268,1.02229,1.022485,1.02247,1.02406,0.0015799999999999148
E3_long_fvg0230_20R,1,2024-01-24 11:30:00+00:00,2024-01-24 11:29:00+00:00,1.0897,1.08921,2024-01-24 11:32:00+00:00,stop,-0.00043999999999999595,-0.0005799999999997884,0.00043999999999999595,-1.3181818181813494,-1.0,0.0,-1.2954545454544653,-57.99999999997884,EURUSD,24077,24078,1.08955,1.08919,1.0893700000000002,1.08931,1.09001,0.00043999999999999595
